week,meanRt,lowerRt,upperRt,totalIterations,runTime
1,NaN,NaN,NaN,0,0
2,1.6194439974522,0.599141881175213,3.29256629043617,103205,2.149956714
3,2.11103468804021,1.05716736096684,3.61922767354302,104849,1.279113763
4,0.58989145817493,0.185449094026824,1.24864232885555,101532,0.984886744
5,4.5074630746555,3.09440540263692,6.31743615130769,112493,1.36179671
6,2.1029669627055,1.45774697220352,2.87815926697069,106702,1.41128633
7,0.142555225209485,0.0384423112021785,0.312985739035604,107756,1.704743587
8,0.61333354352157,0.338322428701779,0.979841906545102,106621,1.697274789
9,2.35789738353587,1.69881405180884,3.13099976102864,107993,1.840007337
10,4.89592705036693,3.99969383441161,5.90258932445508,115760,2.022695936
11,0.166617561171635,0.0826133573370729,0.283389012191468,126655,2.32417003
1,NaN,NaN,NaN,0,0
2,1.59593264596532,0.794792052874468,2.73364949930371,106734,1.821224433
3,1.46989854635647,0.836438370346375,2.32226435168087,107481,1.081941658
4,0.361884347490073,0.119610745226515,0.756716639623116,103207,1.103318369
5,5.24634396711364,3.95807312091762,6.76420522336698,131522,1.473000195
6,2.78114297862888,2.17857263354279,3.46472585052443,118481,1.559983995
7,0.143836032518896,0.0620984712383306,0.262861176563414,124045,2.055761052
8,0.521034194089794,0.335803714869855,0.747405550245414,120731,1.76423366
9,2.63330008587086,2.13482876914567,3.19361937215765,121608,2.160634763
10,4.18505497487984,3.63783942622041,4.78187539639116,133346,2.484719636
11,0.220891366235425,0.146544166853804,0.312782220484978,162924,2.763617094
1,NaN,NaN,NaN,0,0
2,2.14760727080294,1.31691578724627,3.21436807748942,115423,1.876885986
3,2.06521867359122,1.42026724093147,2.83895004302242,117194,1.159265219
4,0.307362178842743,0.132818841247535,0.558439338560198,109293,1.165446396
5,4.664751368279,3.79493097072372,5.65201793104747,144882,1.548072427
6,2.09809948681709,1.70879381667957,2.51715079389724,130887,1.739179555
7,0.117651601440914,0.0569101554637512,0.200802755608994,146656,1.896623593
8,0.73234374547704,0.543810186972725,0.944916983874863,136814,2.383138722
9,2.32422996713554,1.943683646183,2.73214760012032,136577,2.08881797
10,4.26735418001523,3.80873364837803,4.7685163484732,156896,2.754877697
11,0.207380863947486,0.145731193701986,0.278067392746218,205234,3.671289101
1,NaN,NaN,NaN,0,0
2,1.77529024767513,1.20721865463571,2.45480353350189,120110,1.913526155
3,1.62051087178616,1.19291104086842,2.1200350636204,125505,1.200015739
4,0.346303072130277,0.190412496504243,0.550969941871486,120373,1.23376449
5,4.2417897402011,3.57164875926073,4.99712540348841,160111,1.686361791
6,1.90648644062764,1.59899032017669,2.24426057958441,147886,2.608363814
7,0.159493719292208,0.0945574928353903,0.242529121923353,170504,2.614209039
8,0.783617843362659,0.61069299246567,0.973255292206337,154836,2.468145076
9,2.42068727840442,2.08012615692938,2.78745421532328,156258,2.624664482
10,3.95576878153741,3.57903367406295,4.34056562948025,181990,2.944053026
11,0.241589655532087,0.183697331621427,0.309452342358419,247994,4.993847459
1,NaN,NaN,NaN,0,0
2,1.66392824252747,1.09952020105861,2.35112427696483,122736,1.998094396
3,1.93323481786183,1.43179614552433,2.52080490140782,133475,1.168313406
4,0.262036312025941,0.12200335080792,0.44908171013417,121325,1.25988225
5,4.99203080899862,4.2563567328745,5.80900446778432,192987,2.471078896
6,2.24810820796901,1.92548600939294,2.6030982680723,165817,2.409290939
7,0.176423802570248,0.111968223549512,0.254138435577064,195346,2.844427551
8,0.711713650990597,0.564446116200345,0.869728657209621,178290,2.774633954
9,2.41365093396225,2.11339455600328,2.73954789478823,178296,2.709466928
10,4.12512077874095,3.78610623495424,4.48139234584779,218687,4.218135414
11,0.205469858017451,0.157484842512664,0.258544296395775,308050,5.079571818
1,NaN,NaN,NaN,0,0
2,1.52624493353148,1.08125666499374,2.07714569051615,130734,2.06081158
3,1.87531088908184,1.4567840884539,2.34575183579103,147661,1.240942582
4,0.253569173442181,0.13713474006423,0.411730611946598,136215,1.279390044
5,4.62434118439576,4.00862722033415,5.26981754856825,217274,2.2475332
6,2.21256799806119,1.93042715892628,2.51533969001966,192761,2.495838716
7,0.186700146913201,0.127586141917814,0.257106082725976,232563,2.958623262
8,0.678524169538555,0.546450894602614,0.820294062567817,208170,3.152853961
9,2.36818992997459,2.10386197668062,2.65342711428433,207990,3.698551198
10,4.14194726095112,3.83531066544756,4.46475611016296,263096,4.227014604
11,0.244784090805696,0.196139956123642,0.297615550425701,368500,6.338644287
1,NaN,NaN,NaN,0,0
2,1.76582821373405,1.28481439675763,2.31804011736637,142346,2.030443292
3,2.08611397521075,1.66950260147591,2.55896121247776,165640,1.32083323
4,0.237554839703596,0.128926435891475,0.379766835664992,150239,1.563510886
5,4.53979674292608,3.99155908529177,5.1328261547745,251506,2.937809926
6,2.1630079090514,1.89933680855922,2.44059323806778,225718,2.835601325
7,0.176116650013882,0.122946341523573,0.24101294955665,273607,3.603413118
8,0.70129544403741,0.578007392846821,0.832458938338124,241336,3.956307951
9,2.45975116068089,2.20925201260144,2.73033379415495,246441,4.274459298
10,4.22620101138902,3.9453671945078,4.5156866307511,331087,5.444218945
11,0.226337539279161,0.182941563605049,0.272936917589618,461341,7.736073735
1,NaN,NaN,NaN,0,0
2,1.57421938834786,1.18086673240735,2.03728038239308,156136,2.089222636
3,1.92413975570877,1.55255016536821,2.3311416536374,189119,1.656987529
4,0.219799650011043,0.122327117731256,0.340634093567627,173394,1.51272583
5,4.7405003650506,4.21868913585735,5.30032046177499,316019,3.782383346
6,2.1646425052929,1.92484209936208,2.41356760655516,279095,3.447729905
7,0.170840557340036,0.120282618950487,0.227841651522605,346136,4.498645506
8,0.704981284921901,0.592101016441998,0.828521719651919,299647,4.252740903
9,2.33139895169206,2.10681700552626,2.57798309255181,307888,4.745407377
10,4.23970825754868,3.98127970752017,4.50376575992821,434195,7.436516423
11,0.185596279594392,0.149859535912537,0.226221938962753,603423,9.845428937
1,NaN,NaN,NaN,0,0
2,1.70331336845937,1.29823663615731,2.1490249645747,183144,2.206896098
3,1.85372011443305,1.52028264323871,2.21230474732236,225683,1.85085859
4,0.280898891154512,0.175687249730166,0.410559386368784,208643,1.956874936
5,4.80521630999262,4.32708855533378,5.32264682842235,419050,4.660902801
6,2.1680373171397,1.94325745201034,2.40261249897147,373587,4.181256538
7,0.167962107862445,0.122664248933528,0.222167496274013,461359,6.193122026
8,0.70291743912125,0.595570285648259,0.818503598645787,399544,5.624288299
9,2.42529299482782,2.20563052739581,2.65859871464483,422574,6.642775859
10,4.06600170784442,3.83151504108751,4.31670882825563,620984,9.863403081
11,0.211421835922561,0.175373864646083,0.252413413272841,816549,13.09189972
1,NaN,NaN,NaN,0,0
2,0.174518556008779,0.00412160900537824,0.659371319781878,100140,1.838910501
3,0.95336643203854,0.330134427132476,1.94988019433455,101957,0.989546885
4,2.27531917945038,1.18572365111267,3.79905606395196,105310,1.158301788
5,0.527799554534637,0.140666751264743,1.18349034395442,101191,1.301668114
6,1.0982156401425,0.452726884410689,2.04729841975489,102534,1.749814095
7,3.06126473315894,1.85600754809439,4.64116543010705,107563,2.024752573
8,4.73583933168136,3.44857224184404,6.29819155931639,113287,1.925263974
9,1.64794559034727,1.18637495872133,2.20833461503158,108460,2.136287039
10,2.69815386869145,2.17766443882475,3.28034229886363,114270,2.270033891
11,4.40772341881106,3.86023887292921,5.00166109812199,123552,2.639929622
1,NaN,NaN,NaN,0,0
2,0.774102254376971,0.297334751037405,1.50784798109024,103277,1.864930989
3,1.52818054631322,0.865995495659943,2.40571716019973,107715,1.125561748
4,2.05954068881024,1.33258356765696,2.98398898425325,110838,1.201251724
5,0.50152082622627,0.223184199006772,0.896149961709562,105064,1.554197744
6,1.52573713274582,0.980877618800571,2.21877660208647,109435,1.468096466
7,1.94209573962092,1.34506655711845,2.67794902045447,111732,1.715782538
8,4.93027604222749,4.02607463222484,5.95119992841381,131155,2.189820417
9,1.66830110430556,1.35167459069659,2.02462357279986,125589,2.433413893
10,2.05121828656653,1.75438931500293,2.3806895760447,136266,2.767631492
11,4.47649091263558,4.08773790535691,4.87915116966914,159686,3.063393918
1,NaN,NaN,NaN,0,0
2,0.534713928621403,0.238250768289508,0.956487313114387,105563,1.927989302
3,1.6827177964475,1.1404081440211,2.35423982100306,115553,1.100044863
4,1.50439355698764,1.04409727909607,2.05938556310584,115741,1.183144831
5,0.346184696666079,0.165129035139489,0.596017803909395,111184,1.263778481
6,1.56726982629757,1.10615571453489,2.12670514970612,116803,1.556908489
7,1.97288735621818,1.47519317504872,2.5594181936623,120385,1.802998284
8,4.68118329539505,3.95384232411765,5.48140165227923,148457,2.512161691
9,1.80089164759102,1.52334876747778,2.10534182984893,143401,2.42354424
10,2.1765760236071,1.92272609555962,2.44482704037574,159501,2.657179126
11,4.50507910927076,4.19179661363236,4.83018089864956,199919,3.76478678
