week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,weeklyI
1,NaN,NaN,NaN,0.0,0.0,0.0,16.0
2,1.3012757806908235,0.18391635635737816,3.6012729038152163,293862.0,1.50635284,1.0,86.0
3,1.7510224339261007,0.46636145479478675,4.4450238630419,241649.0,0.878871224,3.0,344.0
4,2.0917586360112037,1.092826873517903,3.910326023472239,226699.0,1.320010272,17.0,1217.0
5,1.1705713823071204,0.8021046125072674,1.6324157204582903,258699.0,1.357849278,33.0,3936.0
6,1.7574345258906843,1.4172383674894804,2.169155149591899,335207.0,1.902045543,129.0,12637.0
7,0.779306259797894,0.6409071840143039,0.927360336982807,389358.0,2.512865106,113.0,9749.0
8,0.6823163140384992,0.5131643865497755,0.8699611905235048,324645.0,2.021411275,47.0,4917.0
9,0.8148656271634004,0.5437570139533721,1.1450352631315028,259632.0,2.243209427,23.0,2279.0
10,0.5041091220982908,0.20074902416788992,0.9365247865052291,211478.0,1.512714344,5.0,1097.0
11,1.9425684144761193,0.9894154817862127,3.605134791321875,214970.0,1.693446538,12.0,484.0
1,NaN,NaN,NaN,0.0,0.0,0.0,16.0
2,1.2740674288664677,0.1690116012868088,3.603315214090415,383024.0,1.601903026,1.0,86.0
3,1.7525392701788165,0.4528426462407103,4.427789404949175,285303.0,1.041952894,3.0,344.0
4,2.1249651410153914,1.0987526038555384,4.055142221793624,243931.0,1.344451565,17.0,1217.0
5,1.1707457058192605,0.7922155100844691,1.6487458072248868,279090.0,1.351748235,33.0,3936.0
6,1.7529785639921658,1.4096549919665669,2.1787614181392914,374010.0,2.390262707,129.0,12637.0
7,0.7820181733610893,0.6417483348946804,0.931200208167473,423841.0,2.445044045,113.0,9749.0
8,0.683083306826436,0.5088486789713884,0.8783035737289824,345661.0,2.166975937,47.0,4917.0
9,0.8185071793028913,0.5355615269476054,1.1611205970486973,275213.0,2.315518297,23.0,2279.0
10,0.5078726856586598,0.19777513162914342,0.9684740430305933,219973.0,1.596421148,5.0,1097.0
11,1.9876044515199907,0.960666448964633,3.826924088048775,231519.0,2.040654785,12.0,484.0
1,NaN,NaN,NaN,0.0,0.0,0.0,16.0
2,1.2685159597104412,0.15482122015474975,3.6156772928640035,506150.0,2.14162969,1.0,86.0
3,1.7415994227404792,0.4368491048906413,4.445099949457079,334168.0,1.320861431,3.0,344.0
4,2.141517520217939,1.0805007126951005,4.093309376927621,261834.0,1.338929437,17.0,1217.0
5,1.174603274316695,0.7794480687675375,1.6706747916378382,298503.0,2.123246886,33.0,3936.0
6,1.7606498464080325,1.406685540920725,2.178876802273772,414229.0,2.33395861,129.0,12637.0
7,0.7802611303783715,0.6425295502429109,0.9329428273365508,457289.0,2.755079432,113.0,9749.0
8,0.6835369575143058,0.5051016668782892,0.889806864018756,369367.0,2.734104104,47.0,4917.0
9,0.8206495914258772,0.5253335263685021,1.1927545309671863,294961.0,2.046987778,23.0,2279.0
10,0.5126648617637852,0.19437483956971838,0.9976673848670157,227387.0,2.017503994,5.0,1097.0
11,2.0135173358948846,0.9624827294658626,3.9906872377806217,249749.0,1.933744101,12.0,484.0
1,NaN,NaN,NaN,0.0,0.0,0.0,16.0
2,1.2433738084115973,0.15889892670998626,3.5927861822196414,711009.0,2.642923013,1.0,86.0
3,1.732406677332721,0.43761680212999726,4.455052016036775,402554.0,1.494427237,3.0,344.0
4,2.1700246824818823,1.0819006188697442,4.198447801331384,281311.0,1.2919092,17.0,1217.0
5,1.1691092884685907,0.7816281537497439,1.6766518087230684,319316.0,1.651874582,33.0,3936.0
6,1.7598856052160472,1.4074082532017878,2.1949830971136013,455170.0,2.667502625,129.0,12637.0
7,0.7820050768822442,0.6376903110668932,0.9391967142600246,502532.0,2.987138388,113.0,9749.0
8,0.6869112481237912,0.5050485699472871,0.8975811578004278,396049.0,2.570634937,47.0,4917.0
9,0.8217771849021932,0.5201218850128801,1.2134756285411596,315622.0,2.56286913,23.0,2279.0
10,0.5234521636313101,0.19624019569399198,1.044013949737557,238328.0,1.908265422,5.0,1097.0
11,2.0368468979649377,0.9371818943940651,4.119592346505182,267565.0,2.257743725,12.0,484.0
1,NaN,NaN,NaN,0.0,0.0,0.0,16.0
2,1.237107705026837,0.15596851022782682,3.6649199528906173,1.061519e6,3.373646415,1.0,86.0
3,1.7887209041548986,0.4183451322488045,4.811163266628686,502477.0,1.782285074,3.0,344.0
4,2.165326690816406,1.074167059720818,4.216162777803243,304735.0,1.659680642,17.0,1217.0
5,1.174121276873406,0.7851016746241223,1.6852365714167015,346890.0,1.750131258,33.0,3936.0
6,1.7687841059243647,1.3993031381868872,2.212692956475017,509058.0,3.025663081,129.0,12637.0
7,0.7822261141510366,0.6394963499921258,0.9435188882497191,558680.0,3.345146747,113.0,9749.0
8,0.6860366144509897,0.5056265701732287,0.905836156541354,435402.0,2.930876129,47.0,4917.0
9,0.8303932352057025,0.5238308070578559,1.2164391529443437,336309.0,2.646901225,23.0,2279.0
10,0.5302976686177109,0.18675512887000562,1.0723189844214411,249153.0,1.957647072,5.0,1097.0
11,2.0508415259310193,0.9263036744888351,4.205057787524541,291326.0,2.492170648,12.0,484.0
1,NaN,NaN,NaN,0.0,0.0,0.0,16.0
2,1.242515500269602,0.1511662766897112,3.717808779151983,1.856869e6,5.64622495,1.0,86.0
3,1.7996047614461719,0.42171971911983697,4.905644683394309,618078.0,2.305893991,3.0,344.0
4,2.2064466154952482,1.0803738051072684,4.42880401945855,333392.0,1.576979248,17.0,1217.0
5,1.1718263808712712,0.7734768407250829,1.7076208537731643,381566.0,2.087553169,33.0,3936.0
6,1.7606925996117107,1.3845757327628545,2.2179056252818397,593277.0,3.435593622,129.0,12637.0
7,0.7820046248152825,0.6393479058812713,0.9480139335597204,654059.0,4.039651587,113.0,9749.0
8,0.6869681537075659,0.5002659533307883,0.9090972332231007,480765.0,3.283628889,47.0,4917.0
9,0.8307741254981761,0.5204687047655212,1.2514856581203864,365336.0,2.574466547,23.0,2279.0
10,0.5338869080435863,0.1892185990904485,1.0936521830769992,265775.0,2.268033087,5.0,1097.0
11,2.0584532046665007,0.9081916518113762,4.253250457178273,318639.0,2.503414307,12.0,484.0
