week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence
1,NaN,NaN,NaN,0.0,0.0,2.0
2,1.053052826140265,0.021505293870063846,4.362024274903781,2753.0,1.26700217,0.0
3,4.346290988713978,1.2905689131529172,8.82272771132427,18039.0,0.225144423,4.0
4,2.4329555764271444,0.754150634163183,5.077318154713661,14146.0,0.529010767,4.0
5,0.6861947791599692,0.08275833455805379,1.834238939533195,10191.0,0.181133436,1.0
6,3.1456210652087315,1.4263980935815417,5.454222918729366,29318.0,0.49484088,9.0
7,3.5651451000141354,2.064813041644365,5.5035573586100135,58900.0,1.301190362,18.0
8,0.6537127543431166,0.25981037216399955,1.2335363398783765,34348.0,0.993488977,5.0
9,1.204076467013018,0.636832067779312,1.9114253066086497,45170.0,0.996111261,11.0
10,1.4682467468483658,0.8201831054890398,2.311183581124987,51663.0,1.404373391,14.0
11,0.6294930191864703,0.2425622139461801,1.171189749114936,40181.0,1.123186321,6.0
