week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.5893594873275239,0.05171659213815764,5.727600392939274,1841.0,1.101111959,0.0
3,1.576856651753613,0.0635300422498232,5.680912217430226,1917.0,0.079420264,0.0
4,8.871615941073356,3.256962930562788,17.134303271957194,129876.0,1.569217072,6.0
5,1.7562388137459504,0.4431311966760365,3.712309645682111,11476.0,0.189171122,3.0
6,4.6219194031922175,2.691479284090398,7.001014567855106,68727.0,1.075857543,17.0
7,9.627270483405187,7.884151776518474,11.740591947776586,1.261317e6,19.975877287,111.0
8,0.9415212777706798,0.6642382080064709,1.2685605157644249,161661.0,2.717629952,36.0
9,5.842815389155094,5.260784823838855,6.457746499854981,1.927339e6,30.692148119,400.0
10,2.1792744501631947,1.9606591253635584,2.436113124089905,1.165003e6,19.41097001,361.0
11,2.144891227959857,1.97124654426424,2.325190612232753,1.946959e6,31.028522386,596.0
