week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.3909181017476044,0.032331485094108096,5.533818158968334,100001.0,1.779416467,0.0
3,1.3682323288657663,0.030003096238047717,5.468638936808605,100001.0,0.885162052,0.0
4,1.5286389643791678,0.03544749030331273,5.981307330301917,100001.0,0.878940373,0.0
5,1.1245147840083936,0.019222919214036703,5.235053198431496,100003.0,1.058152038,0.0
6,1.6952375672221849,0.03453876717880861,7.2565650619809245,100002.0,1.171532336,0.0
7,3.8093246209091065,0.6396645695975632,10.683841413250212,315010.0,4.882628794,2.0
8,0.6941248303835984,0.015192650867988962,2.7954660396030513,100002.0,1.345087564,0.0
9,4.013906311415126,1.3447310153711063,8.527100396706597,339787.0,6.143996045,6.0
10,2.028093514923252,0.7180982684578654,4.063705048530823,173256.0,3.341697443,5.0
11,1.6548606664648136,0.6509125296593395,3.1266231309368115,157009.0,2.076959305,6.0
