week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.794361585953631,0.039387464236722625,7.327069467694101,100001.0,1.9894585,0.0
3,1.7598231676728202,0.03899578155109085,7.239412877450024,100001.0,1.51894399,0.0
4,2.039799291707289,0.04417212299013129,8.266806450946808,100001.0,1.024772184,0.0
5,2.1147119015503724,0.14274070202204317,8.442732856999886,112741.0,1.457853435,1.0
6,2.0810214313922017,0.18111594877075138,7.006640575567516,112894.0,1.69924518,1.0
7,3.9527536978927325,1.0518227412449999,9.393611252665773,149926.0,2.837970684,4.0
8,4.311978153791947,2.1005577640447015,7.680474604731469,216884.0,4.090200233,17.0
9,1.318798622967019,0.6372247153974021,2.299633245618378,128812.0,2.661209629,10.0
10,4.3172557608675675,3.157589224295348,5.671355772506438,235384.0,4.128911948,54.0
11,2.5425164379662126,1.9589033851463067,3.240576576118638,191663.0,4.256716385,65.0
1,NaN,NaN,NaN,0.0,0.0,2.0
2,1.2249860661505882,0.02690403448610978,5.020569105035471,100002.0,1.631607421,0.0
3,1.180526121012574,0.027341201810644804,4.762911951982744,100002.0,1.087631393,0.0
4,1.429887835973171,0.033467110350069565,5.620079650737731,100001.0,1.150964181,0.0
5,1.3233938917742156,0.10196743257447151,5.070684901218382,106588.0,1.542993044,1.0
6,7.0360075322382265,2.5903340421741823,14.751179034422057,243827.0,3.337766755,16.0
7,4.881606024613744,3.0711415300410634,7.239738624619213,171827.0,3.435683531,34.0
8,2.7415308268131904,2.054418396560468,3.5452350722472947,208062.0,4.12335911,84.0
9,1.0230995734028456,0.7570402143335706,1.3492546965942167,189372.0,3.463890184,52.0
10,0.6664607107292279,0.47147011941572586,0.9035231118679797,191448.0,4.166983623,38.0
11,0.5371328324867682,0.3496415145695147,0.7585712355647726,179981.0,4.955825135,27.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.7850053378400672,0.03965297811658922,7.35929867610041,100001.0,1.926429677,0.0
3,1.755658728455954,0.03849304438110713,7.1570666832239604,100001.0,1.160277378,0.0
4,2.0415491304820543,0.04688118355771458,8.21312925956011,100001.0,1.418015438,0.0
5,1.5184583823382043,0.023183537507326234,7.551852392782221,100044.0,1.528572892,0.0
6,3.2681668832201307,0.25164929744163705,11.976893802769059,137657.0,2.290286805,1.0
7,1.5464653532292627,0.03366012908488242,6.304894758394915,100002.0,2.104109693,0.0
8,7.757375734446919,2.804924547898398,16.489179133202718,451531.0,6.948615495,11.0
9,0.9974085361626189,0.26365232820755136,2.2452442292898764,115454.0,2.152571358,3.0
10,6.119715257205285,4.2530985807203,8.387267765045225,315150.0,6.490703451,40.0
11,0.0657142044223081,0.0020632048987312495,0.2450108310063582,110593.0,2.778334192,0.0
1,NaN,NaN,NaN,0.0,0.0,3.0
2,0.917574234624695,0.02098092549430209,3.655234568807679,100001.0,1.871871049,0.0
3,3.4954182621309267,0.951636629485823,8.287259144793044,108823.0,2.059678363,4.0
4,0.9892940572288681,0.11251243005165926,2.946287520630423,101102.0,1.492535743,1.0
5,0.24132460893186938,0.02717442636587529,0.7671191457796614,103083.0,1.860540709,1.0
6,0.5226418541625677,0.08985678318368685,1.4595084966627963,104324.0,1.679837715,2.0
7,0.7832021974299579,0.14336690826409393,2.0644968702028237,105688.0,1.792876607,2.0
8,1.1606627264364906,0.38339400882646724,2.5122198417319654,121189.0,2.813643456,5.0
9,2.153049462976057,0.9946420076531115,3.8566832125274026,145830.0,3.52192349,10.0
10,0.941208567614852,0.340248396064925,1.8306954316550972,118069.0,2.99393993,5.0
11,0.3118842359515467,0.03842558677158578,0.8676961846112348,105449.0,2.674559934,1.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.7882244629124975,0.038853139198295764,7.23112043462959,100001.0,1.830052161,0.0
3,1.787137319920035,0.0387675127528985,7.271238964687498,100002.0,1.434390208,0.0
4,2.0333784656253635,0.044351999814322994,8.16628059630567,100001.0,1.503927427,0.0
5,3.5099827979600176,0.6207389782357989,10.828877632864693,142389.0,1.889434397,4.0
6,0.9843369540349106,0.10008557399010948,3.1021714105094182,105261.0,2.080345176,1.0
7,2.5612823841956,0.8240512619447984,5.473973561945662,127637.0,2.009338365,5.0
8,0.20529841544434366,0.005238084922593674,0.7846070510771046,101393.0,2.204428696,0.0
9,1.4526727831501678,0.4890029968829683,3.089944780512879,126761.0,2.985925338,5.0
10,0.5329144691335753,0.059898424424224335,1.5463509746448931,105850.0,2.374955143,1.0
11,0.6572896959778757,0.08247596897458795,1.8504653653648278,106894.0,2.727982239,1.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,3.0762231679681626,0.3099592243613592,9.801233864459114,106269.0,1.651170168,1.0
3,2.198403193737057,0.22988302841068178,6.957929329144567,103339.0,1.124490685,1.0
4,1.8452238654085051,0.19762683461598365,5.673137324557969,102518.0,1.36489279,1.0
5,0.2583268008498735,0.005487085240786442,1.1213619587704384,100521.0,1.472399468,0.0
6,0.4185414818732465,0.009311375234214969,1.7965634742914511,100204.0,1.458601986,0.0
7,0.785814048847941,0.01571672936408202,3.293809238627281,100045.0,1.768661044,0.0
8,1.055750618263042,0.020781349901993425,4.765093644626316,100119.0,2.02555857,0.0
9,2.076220067916566,0.03881680765828186,8.887089101223943,100012.0,2.222121636,0.0
10,3.250884308216726,0.07541369384081523,12.759835995565757,100001.0,2.391972491,0.0
11,4.118430949494957,0.09874542136807239,15.598447770568352,100001.0,2.307848898,0.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.8017120206326005,0.03871693373678023,7.387102454843616,100001.0,1.830039188,0.0
3,1.788176816254159,0.04060860372206674,7.273131391060141,100001.0,1.476096297,0.0
4,2.06678911446376,0.044751830445222754,8.434777616251095,100001.0,1.20305876,0.0
5,1.5479720792646192,0.023021736581683414,7.660765682032172,100041.0,1.716529215,0.0
6,3.326426267299408,0.2560308034090995,12.227800075934104,137969.0,1.90020716,1.0
7,5.250326060214047,1.293717849076137,13.130180011168294,184537.0,3.027539896,4.0
8,3.0377159378542107,1.2185461058260032,6.04619036663878,165997.0,2.820187922,9.0
9,0.9225476505545659,0.28445482947101214,1.9450385342193646,116537.0,2.202894075,4.0
10,1.7722973634814094,0.8707103068969292,3.032212571965487,137890.0,2.917333136,10.0
11,0.4340844978416345,0.08911259313843034,1.0406549415823483,108341.0,2.287916087,2.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,8.389590782425659,2.942975666840452,18.137910477831223,146295.0,1.763700551,8.0
3,1.0620128851007662,0.200906551537572,2.7689333763737847,101571.0,1.11304036,2.0
