week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR,reportedWeeklyICheck
1,NaN,NaN,NaN,0,0,1,3.70791756220844,1
2,1.79436158595363,0.0393874642367226,7.3270694676941,100001,1.881794448,0,1.5960539963187,0
3,1.75982316767282,0.0389957815510908,7.23941287745002,100001,1.574101516,0,0.843982032441422,0
4,3.45099246386737,0.360053390231997,10.9151866100751,109040,1.411620107,1,0.915617397269444,1
5,0.61477351374702,0.0102637743136767,2.93992849950215,100114,1.543169067,0,2.21472513471265,0
6,1.6338300937272,0.130913137818257,5.82607688677235,108737,1.798961353,1,3.48239827938808,1
7,1.81791806236453,0.180330853121539,5.87783736826943,111314,2.312474887,1,1.08239804622387,1
8,1.19514676471652,0.123240274311379,3.8135488341101,111616,2.126931609,1,0.371892860324128,1
9,4.1915463719839,1.5059302457692,8.65933797997892,204167,3.605538317,7,8.73054860495942,7
10,7.19985234093326,4.6121599146196,10.470436750558,382209,7.13943092,31,5.39701158404264,31
11,0.681083655840387,0.287571971521252,1.24471022175771,118536,2.404530792,7,0.326562349030953,7
1,NaN,NaN,NaN,0,0,1,4.43578552526061,1
2,1.79865704859374,0.0412851045823498,7.38884314850748,100001,1.55189567,0,0.490981763483131,0
3,3.03296050146556,0.306619380277649,9.76463501469605,106369,1.342365918,1,1.7425016507094,1
4,1.37567660032792,0.0306408617191725,5.4731397966232,100002,1.394311989,0,2.61785455960239,0
5,2.46335899206511,0.538667949839594,7.00059807048987,123750,1.749615832,5,5.10763029409495,5
6,6.72152903004366,3.28553283186708,11.808213898398,223133,3.597793914,31,7.433815192748,31
7,5.09308186852509,3.70248794469062,6.73375851435253,178670,3.348196359,73,5.12050502294804,73
8,6.01859637475093,5.19474253120296,6.89259706115054,483879,6.956313547,458,8.76354230521857,458
9,8.384818933208,7.90219511761838,8.85499942203115,1107495,15.80674406,2255,8.55762325669531,2255
10,7.65412229357605,7.4722976259785,7.84792884959398,1622418,25.105436628,8660,7.41727021823324,8660
11,0.407101435550577,0.385104211659979,0.429900919321541,2229167,34.072289216,1333,0.377947866120295,1333
1,NaN,NaN,NaN,0,0,1,0.358610534328964,1
2,1.7939474111687,0.0404999734087019,7.29876441753441,100001,1.546509322,0,1.31250101041022,0
3,1.76511241254803,0.0374363703898461,7.20585766605916,100001,1.310921135,0,1.92448760159428,0
4,2.04589567285444,0.0445253077959485,8.25754923114167,100001,1.44872358,0,1.36226825115045,0
5,3.5090731079478,0.618516018680295,10.8630037656921,142415,1.937692589,4,9.7683592516352,4
6,2.21038333176744,0.568604360393701,5.28278031134585,121241,2.399289792,4,4.64369340821133,4
7,0.677854463090831,0.0785370397461649,1.97813356090414,103673,2.421857614,1,1.1793554271142,1
8,0.219399533236426,0.00553537171366993,0.852853140063207,101402,1.949534859,0,0.179660830547808,0
9,0.366626058553629,0.00751544333791931,1.42247556257879,100464,2.211820907,0,0.00627636839195542,0
10,1.34071314130423,0.15030236055837,3.9451775052756,114132,2.603597079,1,2.68226573122552,1
11,3.89104241534621,1.18930796591451,8.48546443547798,191810,4.181058723,4,0.886357964628452,4
1,NaN,NaN,NaN,0,0,1,3.0576049801412,1
2,1.79420993906988,0.0405294967683832,7.38128534153053,100001,1.529761273,0,0.244956686929217,0
3,1.75429758887721,0.0394600634620337,7.18209194884416,100001,1.313777511,0,6.24182830624956,0
4,2.02885309165916,0.0458611029027287,8.21167240534381,100001,1.482141055,0,1.10878071616564,0
5,1.53141906764676,0.0236272730540394,7.64380842594077,100037,1.640044102,0,1.46049211406703,0
6,2.63501094927485,0.0448030035386144,11.7204841759293,100010,2.200107135,0,0.415314038238176,0
7,3.6328811844669,0.0769783885628322,14.6517480100048,100001,2.325977645,0,1.2850338310681,0
8,4.21779120195558,0.0898775445577347,16.5117461275473,100001,1.932454176,0,2.40347993774656,0
9,4.69368088254811,0.115680540935278,17.6549882692829,100002,2.287277927,0,2.34451412797682,0
10,4.90003380895589,0.122811829488971,18.2867491905951,100001,2.470015177,0,0.745017766300143,0
11,4.95727963512462,0.125108395785032,18.3566614288783,100001,2.480220363,0,11.9426267943367,0
1,NaN,NaN,NaN,0,0,1,0.718759711114839,1
2,3.07000490106221,0.303321740664203,9.89144964987793,106358,1.505322371,1,3.52575712532834,1
3,3.79113862464473,0.853810477213363,9.76270906964625,109868,1.524802472,3,2.7759605355719,3
4,1.2498754565218,0.135876010112134,3.77531597339433,101596,1.445314185,1,1.57303202880804,1
5,1.81137086342944,0.703560689938265,3.87371176408742,119662,1.932732465,13,5.79002537825257,13
6,1.18133642765011,0.507843376934915,2.19603101141304,113166,1.985747543,10,1.34170710159048,10
7,0.506806433468369,0.159541269938875,1.07821033917199,105963,2.067501193,4,0.13334827106003,4
8,2.92671987603448,2.000806563472,4.09958769408261,191327,3.476627508,49,4.30488924426346,49
9,0.505916971675655,0.261688734806811,0.832217894795533,132930,2.789122796,11,0.652217560187793,11
10,2.36212669383802,1.78092589765262,3.02671204191485,189818,3.383907704,61,1.76386384269111,61
