reportedWeeklyI,weeklyI,trueR
2.0,160.0,3.50599072389766
3.0,169.0,3.243850062310864
1.0,75.0,0.7218573881136455
0.0,19.0,0.18767309391199877
3.0,577.0,5.916085649961369
4.0,356.0,1.4424494905755605
14.0,1675.0,4.342547098604496
16.0,2067.0,2.554035539695325
7.0,846.0,0.6552942591786958
2.0,174.0,0.14878183074374426
5.0,409.0,0.4335258837068278
4.0,160.0,3.50599072389766
5.0,169.0,3.243850062310864
1.0,75.0,0.7218573881136455
0.0,19.0,0.18767309391199877
14.0,577.0,5.916085649961369
6.0,356.0,1.4424494905755605
21.0,1675.0,4.342547098604496
38.0,2067.0,2.554035539695325
24.0,846.0,0.6552942591786958
1.0,174.0,0.14878183074374426
7.0,409.0,0.4335258837068278
4.0,160.0,3.50599072389766
2.0,169.0,3.243850062310864
1.0,75.0,0.7218573881136455
0.0,19.0,0.18767309391199877
24.0,577.0,5.916085649961369
11.0,356.0,1.4424494905755605
58.0,1675.0,4.342547098604496
64.0,2067.0,2.554035539695325
25.0,846.0,0.6552942591786958
10.0,174.0,0.14878183074374426
14.0,409.0,0.4335258837068278
7.0,160.0,3.50599072389766
5.0,169.0,3.243850062310864
5.0,75.0,0.7218573881136455
1.0,19.0,0.18767309391199877
20.0,577.0,5.916085649961369
16.0,356.0,1.4424494905755605
68.0,1675.0,4.342547098604496
77.0,2067.0,2.554035539695325
19.0,846.0,0.6552942591786958
8.0,174.0,0.14878183074374426
13.0,409.0,0.4335258837068278
6.0,160.0,3.50599072389766
6.0,169.0,3.243850062310864
4.0,75.0,0.7218573881136455
1.0,19.0,0.18767309391199877
28.0,577.0,5.916085649961369
18.0,356.0,1.4424494905755605
78.0,1675.0,4.342547098604496
101.0,2067.0,2.554035539695325
51.0,846.0,0.6552942591786958
10.0,174.0,0.14878183074374426
25.0,409.0,0.4335258837068278
4.0,160.0,3.50599072389766
11.0,169.0,3.243850062310864
4.0,75.0,0.7218573881136455
1.0,19.0,0.18767309391199877
35.0,577.0,5.916085649961369
17.0,356.0,1.4424494905755605
125.0,1675.0,4.342547098604496
120.0,2067.0,2.554035539695325
53.0,846.0,0.6552942591786958
14.0,174.0,0.14878183074374426
25.0,409.0,0.4335258837068278
14.0,160.0,3.50599072389766
13.0,169.0,3.243850062310864
3.0,75.0,0.7218573881136455
0.0,19.0,0.18767309391199877
47.0,577.0,5.916085649961369
25.0,356.0,1.4424494905755605
120.0,1675.0,4.342547098604496
123.0,2067.0,2.554035539695325
58.0,846.0,0.6552942591786958
9.0,174.0,0.14878183074374426
24.0,409.0,0.4335258837068278
14.0,160.0,3.50599072389766
12.0,169.0,3.243850062310864
9.0,75.0,0.7218573881136455
2.0,19.0,0.18767309391199877
35.0,577.0,5.916085649961369
22.0,356.0,1.4424494905755605
133.0,1675.0,4.342547098604496
171.0,2067.0,2.554035539695325
77.0,846.0,0.6552942591786958
14.0,174.0,0.14878183074374426
25.0,409.0,0.4335258837068278
12.0,160.0,3.50599072389766
12.0,169.0,3.243850062310864
6.0,75.0,0.7218573881136455
4.0,19.0,0.18767309391199877
59.0,577.0,5.916085649961369
27.0,356.0,1.4424494905755605
157.0,1675.0,4.342547098604496
184.0,2067.0,2.554035539695325
61.0,846.0,0.6552942591786958
10.0,174.0,0.14878183074374426
37.0,409.0,0.4335258837068278
3.0,131.0,2.107759935724617
2.0,73.0,1.3539910018587031
2.0,141.0,2.2719041836539056
2.0,61.0,0.7161351363156702
3.0,152.0,1.6065867917613714
2.0,315.0,2.773769403667394
7.0,616.0,3.1984351773802637
1.0,240.0,0.7231756569924047
2.0,207.0,0.6036383539256781
23.0,1119.0,3.2558927023478743
6.0,704.0,1.3859643331118767
4.0,131.0,2.107759935724617
2.0,73.0,1.3539910018587031
2.0,141.0,2.2719041836539056
0.0,61.0,0.7161351363156702
3.0,152.0,1.6065867917613714
9.0,315.0,2.773769403667394
18.0,616.0,3.1984351773802637
7.0,240.0,0.7231756569924047
6.0,207.0,0.6036383539256781
30.0,1119.0,3.2558927023478743
8.0,704.0,1.3859643331118767
4.0,131.0,2.107759935724617
2.0,73.0,1.3539910018587031
2.0,141.0,2.2719041836539056
2.0,61.0,0.7161351363156702
5.0,152.0,1.6065867917613714
9.0,315.0,2.773769403667394
23.0,616.0,3.1984351773802637
4.0,240.0,0.7231756569924047
4.0,207.0,0.6036383539256781
34.0,1119.0,3.2558927023478743
18.0,704.0,1.3859643331118767
4.0,131.0,2.107759935724617
3.0,73.0,1.3539910018587031
7.0,141.0,2.2719041836539056
3.0,61.0,0.7161351363156702
8.0,152.0,1.6065867917613714
12.0,315.0,2.773769403667394
29.0,616.0,3.1984351773802637
12.0,240.0,0.7231756569924047
10.0,207.0,0.6036383539256781
47.0,1119.0,3.2558927023478743
36.0,704.0,1.3859643331118767
7.0,131.0,2.107759935724617
1.0,73.0,1.3539910018587031
5.0,141.0,2.2719041836539056
3.0,61.0,0.7161351363156702
14.0,152.0,1.6065867917613714
20.0,315.0,2.773769403667394
28.0,616.0,3.1984351773802637
10.0,240.0,0.7231756569924047
11.0,207.0,0.6036383539256781
67.0,1119.0,3.2558927023478743
28.0,704.0,1.3859643331118767
7.0,131.0,2.107759935724617
5.0,73.0,1.3539910018587031
9.0,141.0,2.2719041836539056
2.0,61.0,0.7161351363156702
4.0,152.0,1.6065867917613714
19.0,315.0,2.773769403667394
39.0,616.0,3.1984351773802637
15.0,240.0,0.7231756569924047
10.0,207.0,0.6036383539256781
56.0,1119.0,3.2558927023478743
28.0,704.0,1.3859643331118767
7.0,131.0,2.107759935724617
1.0,73.0,1.3539910018587031
8.0,141.0,2.2719041836539056
5.0,61.0,0.7161351363156702
9.0,152.0,1.6065867917613714
20.0,315.0,2.773769403667394
34.0,616.0,3.1984351773802637
19.0,240.0,0.7231756569924047
11.0,207.0,0.6036383539256781
69.0,1119.0,3.2558927023478743
42.0,704.0,1.3859643331118767
15.0,131.0,2.107759935724617
9.0,73.0,1.3539910018587031
16.0,141.0,2.2719041836539056
7.0,61.0,0.7161351363156702
16.0,152.0,1.6065867917613714
30.0,315.0,2.773769403667394
48.0,616.0,3.1984351773802637
22.0,240.0,0.7231756569924047
13.0,207.0,0.6036383539256781
89.0,1119.0,3.2558927023478743
61.0,704.0,1.3859643331118767
10.0,131.0,2.107759935724617
4.0,73.0,1.3539910018587031
19.0,141.0,2.2719041836539056
4.0,61.0,0.7161351363156702
8.0,152.0,1.6065867917613714
28.0,315.0,2.773769403667394
79.0,616.0,3.1984351773802637
23.0,240.0,0.7231756569924047
20.0,207.0,0.6036383539256781
102.0,1119.0,3.2558927023478743
65.0,704.0,1.3859643331118767
3.0,173.0,4.994847852535441
4.0,188.0,3.0648642589195667
3.0,219.0,2.1251308776534032
20.0,1302.0,6.076412662415904
24.0,1699.0,3.1246205092730466
13.0,1317.0,1.2709922961388551
15.0,1871.0,1.4728212903308346
78.0,8293.0,4.605584002320583
19.0,1723.0,0.4867872228151859
47.0,4184.0,1.073926126058107
61.0,5690.0,1.4354158131303627
9.0,173.0,4.994847852535441
0.0,188.0,3.0648642589195667
1.0,219.0,2.1251308776534032
31.0,1302.0,6.076412662415904
35.0,1699.0,3.1246205092730466
27.0,1317.0,1.2709922961388551
31.0,1871.0,1.4728212903308346
158.0,8293.0,4.605584002320583
37.0,1723.0,0.4867872228151859
89.0,4184.0,1.073926126058107
110.0,5690.0,1.4354158131303627
4.0,173.0,4.994847852535441
8.0,188.0,3.0648642589195667
6.0,219.0,2.1251308776534032
35.0,1302.0,6.076412662415904
50.0,1699.0,3.1246205092730466
41.0,1317.0,1.2709922961388551
67.0,1871.0,1.4728212903308346
231.0,8293.0,4.605584002320583
50.0,1723.0,0.4867872228151859
134.0,4184.0,1.073926126058107
191.0,5690.0,1.4354158131303627
5.0,173.0,4.994847852535441
4.0,188.0,3.0648642589195667
10.0,219.0,2.1251308776534032
43.0,1302.0,6.076412662415904
53.0,1699.0,3.1246205092730466
40.0,1317.0,1.2709922961388551
64.0,1871.0,1.4728212903308346
328.0,8293.0,4.605584002320583
82.0,1723.0,0.4867872228151859
168.0,4184.0,1.073926126058107
234.0,5690.0,1.4354158131303627
7.0,173.0,4.994847852535441
14.0,188.0,3.0648642589195667
12.0,219.0,2.1251308776534032
72.0,1302.0,6.076412662415904
89.0,1699.0,3.1246205092730466
63.0,1317.0,1.2709922961388551
109.0,1871.0,1.4728212903308346
464.0,8293.0,4.605584002320583
72.0,1723.0,0.4867872228151859
202.0,4184.0,1.073926126058107
298.0,5690.0,1.4354158131303627
12.0,173.0,4.994847852535441
12.0,188.0,3.0648642589195667
14.0,219.0,2.1251308776534032
81.0,1302.0,6.076412662415904
102.0,1699.0,3.1246205092730466
90.0,1317.0,1.2709922961388551
115.0,1871.0,1.4728212903308346
514.0,8293.0,4.605584002320583
110.0,1723.0,0.4867872228151859
247.0,4184.0,1.073926126058107
358.0,5690.0,1.4354158131303627
15.0,173.0,4.994847852535441
7.0,188.0,3.0648642589195667
15.0,219.0,2.1251308776534032
88.0,1302.0,6.076412662415904
118.0,1699.0,3.1246205092730466
96.0,1317.0,1.2709922961388551
134.0,1871.0,1.4728212903308346
616.0,8293.0,4.605584002320583
123.0,1723.0,0.4867872228151859
301.0,4184.0,1.073926126058107
389.0,5690.0,1.4354158131303627
13.0,173.0,4.994847852535441
19.0,188.0,3.0648642589195667
16.0,219.0,2.1251308776534032
103.0,1302.0,6.076412662415904
140.0,1699.0,3.1246205092730466
93.0,1317.0,1.2709922961388551
139.0,1871.0,1.4728212903308346
679.0,8293.0,4.605584002320583
143.0,1723.0,0.4867872228151859
338.0,4184.0,1.073926126058107
449.0,5690.0,1.4354158131303627
13.0,173.0,4.994847852535441
15.0,188.0,3.0648642589195667
25.0,219.0,2.1251308776534032
107.0,1302.0,6.076412662415904
162.0,1699.0,3.1246205092730466
117.0,1317.0,1.2709922961388551
168.0,1871.0,1.4728212903308346
732.0,8293.0,4.605584002320583
140.0,1723.0,0.4867872228151859
409.0,4184.0,1.073926126058107
496.0,5690.0,1.4354158131303627
4.0,124.0,1.6114093193246293
2.0,93.0,1.9600780434692826
3.0,107.0,1.8430847410873836
6.0,550.0,5.327122113895814
12.0,1361.0,4.910557022008423
1.0,162.0,0.29294540172180933
22.0,2457.0,3.436651003045274
4.0,336.0,0.30487318095272836
64.0,6071.0,4.348341312325992
33.0,3606.0,1.424631035241302
29.0,3248.0,0.9200312223766005
1.0,124.0,1.6114093193246293
0.0,93.0,1.9600780434692826
1.0,107.0,1.8430847410873836
9.0,550.0,5.327122113895814
31.0,1361.0,4.910557022008423
3.0,162.0,0.29294540172180933
42.0,2457.0,3.436651003045274
11.0,336.0,0.30487318095272836
116.0,6071.0,4.348341312325992
67.0,3606.0,1.424631035241302
54.0,3248.0,0.9200312223766005
7.0,124.0,1.6114093193246293
4.0,93.0,1.9600780434692826
4.0,107.0,1.8430847410873836
20.0,550.0,5.327122113895814
41.0,1361.0,4.910557022008423
7.0,162.0,0.29294540172180933
68.0,2457.0,3.436651003045274
18.0,336.0,0.30487318095272836
187.0,6071.0,4.348341312325992
101.0,3606.0,1.424631035241302
115.0,3248.0,0.9200312223766005
3.0,124.0,1.6114093193246293
6.0,93.0,1.9600780434692826
6.0,107.0,1.8430847410873836
21.0,550.0,5.327122113895814
50.0,1361.0,4.910557022008423
7.0,162.0,0.29294540172180933
91.0,2457.0,3.436651003045274
14.0,336.0,0.30487318095272836
268.0,6071.0,4.348341312325992
144.0,3606.0,1.424631035241302
131.0,3248.0,0.9200312223766005
4.0,124.0,1.6114093193246293
5.0,93.0,1.9600780434692826
7.0,107.0,1.8430847410873836
31.0,550.0,5.327122113895814
62.0,1361.0,4.910557022008423
11.0,162.0,0.29294540172180933
125.0,2457.0,3.436651003045274
15.0,336.0,0.30487318095272836
319.0,6071.0,4.348341312325992
158.0,3606.0,1.424631035241302
174.0,3248.0,0.9200312223766005
2.0,124.0,1.6114093193246293
9.0,93.0,1.9600780434692826
6.0,107.0,1.8430847410873836
34.0,550.0,5.327122113895814
88.0,1361.0,4.910557022008423
15.0,162.0,0.29294540172180933
162.0,2457.0,3.436651003045274
17.0,336.0,0.30487318095272836
353.0,6071.0,4.348341312325992
