reportedWeeklyI,weeklyI,trueR
1.0,10.0,0.27200533804000065
0.0,3.0,0.7894165424329134
1.0,30.0,5.196707013128946
3.0,21.0,1.5926501990556414
3.0,62.0,3.501881097895808
3.0,22.0,1.0017094945979281
19.0,194.0,4.830556841027338
15.0,109.0,1.33325799596776
12.0,120.0,1.1989732333838707
5.0,36.0,0.2749774807117399
23.0,144.0,1.5310783445978038
1.0,10.0,0.27200533804000065
0.0,3.0,0.7894165424329134
4.0,30.0,5.196707013128946
4.0,21.0,1.5926501990556414
16.0,62.0,3.501881097895808
4.0,22.0,1.0017094945979281
38.0,194.0,4.830556841027338
23.0,109.0,1.33325799596776
27.0,120.0,1.1989732333838707
7.0,36.0,0.2749774807117399
22.0,144.0,1.5310783445978038
6.0,10.0,0.27200533804000065
0.0,3.0,0.7894165424329134
12.0,30.0,5.196707013128946
8.0,21.0,1.5926501990556414
20.0,62.0,3.501881097895808
7.0,22.0,1.0017094945979281
56.0,194.0,4.830556841027338
44.0,109.0,1.33325799596776
32.0,120.0,1.1989732333838707
10.0,36.0,0.2749774807117399
46.0,144.0,1.5310783445978038
4.0,10.0,0.27200533804000065
1.0,3.0,0.7894165424329134
16.0,30.0,5.196707013128946
11.0,21.0,1.5926501990556414
26.0,62.0,3.501881097895808
8.0,22.0,1.0017094945979281
67.0,194.0,4.830556841027338
48.0,109.0,1.33325799596776
43.0,120.0,1.1989732333838707
9.0,36.0,0.2749774807117399
51.0,144.0,1.5310783445978038
5.0,10.0,0.27200533804000065
0.0,3.0,0.7894165424329134
18.0,30.0,5.196707013128946
5.0,21.0,1.5926501990556414
33.0,62.0,3.501881097895808
9.0,22.0,1.0017094945979281
99.0,194.0,4.830556841027338
49.0,109.0,1.33325799596776
60.0,120.0,1.1989732333838707
14.0,36.0,0.2749774807117399
80.0,144.0,1.5310783445978038
4.0,10.0,0.27200533804000065
3.0,3.0,0.7894165424329134
20.0,30.0,5.196707013128946
14.0,21.0,1.5926501990556414
38.0,62.0,3.501881097895808
16.0,22.0,1.0017094945979281
121.0,194.0,4.830556841027338
70.0,109.0,1.33325799596776
67.0,120.0,1.1989732333838707
21.0,36.0,0.2749774807117399
88.0,144.0,1.5310783445978038
8.0,10.0,0.27200533804000065
2.0,3.0,0.7894165424329134
21.0,30.0,5.196707013128946
17.0,21.0,1.5926501990556414
43.0,62.0,3.501881097895808
18.0,22.0,1.0017094945979281
130.0,194.0,4.830556841027338
75.0,109.0,1.33325799596776
91.0,120.0,1.1989732333838707
29.0,36.0,0.2749774807117399
102.0,144.0,1.5310783445978038
7.0,10.0,0.27200533804000065
3.0,3.0,0.7894165424329134
23.0,30.0,5.196707013128946
16.0,21.0,1.5926501990556414
55.0,62.0,3.501881097895808
17.0,22.0,1.0017094945979281
154.0,194.0,4.830556841027338
91.0,109.0,1.33325799596776
92.0,120.0,1.1989732333838707
29.0,36.0,0.2749774807117399
117.0,144.0,1.5310783445978038
9.0,10.0,0.27200533804000065
3.0,3.0,0.7894165424329134
24.0,30.0,5.196707013128946
19.0,21.0,1.5926501990556414
58.0,62.0,3.501881097895808
17.0,22.0,1.0017094945979281
177.0,194.0,4.830556841027338
94.0,109.0,1.33325799596776
106.0,120.0,1.1989732333838707
31.0,36.0,0.2749774807117399
131.0,144.0,1.5310783445978038
4.0,22.0,7.194403002580257
4.0,18.0,2.1852303051870354
2.0,6.0,0.3435458635486185
0.0,4.0,0.32511716947655583
2.0,25.0,2.434849962855522
2.0,28.0,2.1103764330204804
1.0,11.0,0.38790899146611585
2.0,24.0,1.2174774473901726
1.0,14.0,0.9699924081473273
1.0,20.0,0.9792974241194046
14.0,130.0,6.330048857904686
5.0,22.0,7.194403002580257
1.0,18.0,2.1852303051870354
1.0,6.0,0.3435458635486185
2.0,4.0,0.32511716947655583
7.0,25.0,2.434849962855522
4.0,28.0,2.1103764330204804
3.0,11.0,0.38790899146611585
5.0,24.0,1.2174774473901726
5.0,14.0,0.9699924081473273
2.0,20.0,0.9792974241194046
30.0,130.0,6.330048857904686
8.0,22.0,7.194403002580257
6.0,18.0,2.1852303051870354
3.0,6.0,0.3435458635486185
1.0,4.0,0.32511716947655583
7.0,25.0,2.434849962855522
11.0,28.0,2.1103764330204804
1.0,11.0,0.38790899146611585
8.0,24.0,1.2174774473901726
2.0,14.0,0.9699924081473273
5.0,20.0,0.9792974241194046
31.0,130.0,6.330048857904686
9.0,22.0,7.194403002580257
5.0,18.0,2.1852303051870354
3.0,6.0,0.3435458635486185
1.0,4.0,0.32511716947655583
12.0,25.0,2.434849962855522
13.0,28.0,2.1103764330204804
4.0,11.0,0.38790899146611585
11.0,24.0,1.2174774473901726
4.0,14.0,0.9699924081473273
7.0,20.0,0.9792974241194046
47.0,130.0,6.330048857904686
15.0,22.0,7.194403002580257
10.0,18.0,2.1852303051870354
2.0,6.0,0.3435458635486185
1.0,4.0,0.32511716947655583
12.0,25.0,2.434849962855522
13.0,28.0,2.1103764330204804
2.0,11.0,0.38790899146611585
13.0,24.0,1.2174774473901726
6.0,14.0,0.9699924081473273
11.0,20.0,0.9792974241194046
65.0,130.0,6.330048857904686
14.0,22.0,7.194403002580257
9.0,18.0,2.1852303051870354
3.0,6.0,0.3435458635486185
1.0,4.0,0.32511716947655583
12.0,25.0,2.434849962855522
19.0,28.0,2.1103764330204804
5.0,11.0,0.38790899146611585
9.0,24.0,1.2174774473901726
10.0,14.0,0.9699924081473273
13.0,20.0,0.9792974241194046
76.0,130.0,6.330048857904686
11.0,22.0,7.194403002580257
14.0,18.0,2.1852303051870354
3.0,6.0,0.3435458635486185
2.0,4.0,0.32511716947655583
18.0,25.0,2.434849962855522
20.0,28.0,2.1103764330204804
6.0,11.0,0.38790899146611585
18.0,24.0,1.2174774473901726
7.0,14.0,0.9699924081473273
13.0,20.0,0.9792974241194046
93.0,130.0,6.330048857904686
18.0,22.0,7.194403002580257
16.0,18.0,2.1852303051870354
4.0,6.0,0.3435458635486185
4.0,4.0,0.32511716947655583
20.0,25.0,2.434849962855522
21.0,28.0,2.1103764330204804
10.0,11.0,0.38790899146611585
19.0,24.0,1.2174774473901726
8.0,14.0,0.9699924081473273
14.0,20.0,0.9792974241194046
105.0,130.0,6.330048857904686
19.0,22.0,7.194403002580257
17.0,18.0,2.1852303051870354
5.0,6.0,0.3435458635486185
4.0,4.0,0.32511716947655583
23.0,25.0,2.434849962855522
28.0,28.0,2.1103764330204804
10.0,11.0,0.38790899146611585
21.0,24.0,1.2174774473901726
13.0,14.0,0.9699924081473273
17.0,20.0,0.9792974241194046
121.0,130.0,6.330048857904686
2.0,11.0,0.1232666543257021
1.0,5.0,1.0793158639069116
