reportedWeeklyI,weeklyI,trueR
1.0,2.0,1.1933447570439366
3.0,10.0,4.675251784944394
0.0,7.0,1.645219298870589
2.0,8.0,1.250277944572395
6.0,64.0,6.180918417987064
10.0,66.0,2.491247166127496
2.0,27.0,0.48390364276146863
81.0,765.0,10.983689117247515
8.0,156.0,0.6009012116469616
152.0,1592.0,4.173383366850239
23.0,234.0,0.32494308856322396
1.0,2.0,1.1933447570439366
4.0,10.0,4.675251784944394
1.0,7.0,1.645219298870589
3.0,8.0,1.250277944572395
13.0,64.0,6.180918417987064
18.0,66.0,2.491247166127496
4.0,27.0,0.48390364276146863
166.0,765.0,10.983689117247515
31.0,156.0,0.6009012116469616
318.0,1592.0,4.173383366850239
38.0,234.0,0.32494308856322396
1.0,2.0,1.1933447570439366
3.0,10.0,4.675251784944394
2.0,7.0,1.645219298870589
2.0,8.0,1.250277944572395
17.0,64.0,6.180918417987064
22.0,66.0,2.491247166127496
7.0,27.0,0.48390364276146863
234.0,765.0,10.983689117247515
45.0,156.0,0.6009012116469616
503.0,1592.0,4.173383366850239
63.0,234.0,0.32494308856322396
1.0,2.0,1.1933447570439366
6.0,10.0,4.675251784944394
2.0,7.0,1.645219298870589
2.0,8.0,1.250277944572395
31.0,64.0,6.180918417987064
27.0,66.0,2.491247166127496
7.0,27.0,0.48390364276146863
305.0,765.0,10.983689117247515
65.0,156.0,0.6009012116469616
676.0,1592.0,4.173383366850239
98.0,234.0,0.32494308856322396
2.0,2.0,1.1933447570439366
5.0,10.0,4.675251784944394
5.0,7.0,1.645219298870589
4.0,8.0,1.250277944572395
34.0,64.0,6.180918417987064
34.0,66.0,2.491247166127496
13.0,27.0,0.48390364276146863
359.0,765.0,10.983689117247515
84.0,156.0,0.6009012116469616
819.0,1592.0,4.173383366850239
127.0,234.0,0.32494308856322396
1.0,2.0,1.1933447570439366
5.0,10.0,4.675251784944394
4.0,7.0,1.645219298870589
5.0,8.0,1.250277944572395
45.0,64.0,6.180918417987064
40.0,66.0,2.491247166127496
14.0,27.0,0.48390364276146863
468.0,765.0,10.983689117247515
100.0,156.0,0.6009012116469616
943.0,1592.0,4.173383366850239
130.0,234.0,0.32494308856322396
1.0,2.0,1.1933447570439366
8.0,10.0,4.675251784944394
6.0,7.0,1.645219298870589
6.0,8.0,1.250277944572395
41.0,64.0,6.180918417987064
37.0,66.0,2.491247166127496
19.0,27.0,0.48390364276146863
505.0,765.0,10.983689117247515
109.0,156.0,0.6009012116469616
1092.0,1592.0,4.173383366850239
159.0,234.0,0.32494308856322396
2.0,2.0,1.1933447570439366
10.0,10.0,4.675251784944394
7.0,7.0,1.645219298870589
7.0,8.0,1.250277944572395
53.0,64.0,6.180918417987064
54.0,66.0,2.491247166127496
26.0,27.0,0.48390364276146863
621.0,765.0,10.983689117247515
124.0,156.0,0.6009012116469616
1282.0,1592.0,4.173383366850239
202.0,234.0,0.32494308856322396
2.0,2.0,1.1933447570439366
10.0,10.0,4.675251784944394
6.0,7.0,1.645219298870589
8.0,8.0,1.250277944572395
56.0,64.0,6.180918417987064
58.0,66.0,2.491247166127496
26.0,27.0,0.48390364276146863
683.0,765.0,10.983689117247515
138.0,156.0,0.6009012116469616
1429.0,1592.0,4.173383366850239
210.0,234.0,0.32494308856322396
1.0,5.0,10.06249922392813
0.0,13.0,4.239373937844837
0.0,9.0,2.3753037392277223
3.0,28.0,3.8854968072804983
2.0,51.0,2.928761408940255
4.0,39.0,1.4130706686445031
2.0,61.0,1.482018540890739
20.0,186.0,3.3885599396367923
3.0,29.0,0.41339500048500594
56.0,481.0,4.596003424355994
242.0,2487.0,8.33604641624277
2.0,5.0,10.06249922392813
2.0,13.0,4.239373937844837
1.0,9.0,2.3753037392277223
6.0,28.0,3.8854968072804983
6.0,51.0,2.928761408940255
9.0,39.0,1.4130706686445031
19.0,61.0,1.482018540890739
41.0,186.0,3.3885599396367923
4.0,29.0,0.41339500048500594
101.0,481.0,4.596003424355994
468.0,2487.0,8.33604641624277
2.0,5.0,10.06249922392813
5.0,13.0,4.239373937844837
2.0,9.0,2.3753037392277223
8.0,28.0,3.8854968072804983
14.0,51.0,2.928761408940255
16.0,39.0,1.4130706686445031
19.0,61.0,1.482018540890739
62.0,186.0,3.3885599396367923
7.0,29.0,0.41339500048500594
154.0,481.0,4.596003424355994
789.0,2487.0,8.33604641624277
4.0,5.0,10.06249922392813
3.0,13.0,4.239373937844837
0.0,9.0,2.3753037392277223
8.0,28.0,3.8854968072804983
25.0,51.0,2.928761408940255
12.0,39.0,1.4130706686445031
22.0,61.0,1.482018540890739
71.0,186.0,3.3885599396367923
12.0,29.0,0.41339500048500594
199.0,481.0,4.596003424355994
1004.0,2487.0,8.33604641624277
3.0,5.0,10.06249922392813
10.0,13.0,4.239373937844837
4.0,9.0,2.3753037392277223
15.0,28.0,3.8854968072804983
24.0,51.0,2.928761408940255
20.0,39.0,1.4130706686445031
31.0,61.0,1.482018540890739
93.0,186.0,3.3885599396367923
16.0,29.0,0.41339500048500594
247.0,481.0,4.596003424355994
1249.0,2487.0,8.33604641624277
3.0,5.0,10.06249922392813
10.0,13.0,4.239373937844837
3.0,9.0,2.3753037392277223
19.0,28.0,3.8854968072804983
35.0,51.0,2.928761408940255
21.0,39.0,1.4130706686445031
38.0,61.0,1.482018540890739
120.0,186.0,3.3885599396367923
18.0,29.0,0.41339500048500594
286.0,481.0,4.596003424355994
1464.0,2487.0,8.33604641624277
4.0,5.0,10.06249922392813
8.0,13.0,4.239373937844837
7.0,9.0,2.3753037392277223
17.0,28.0,3.8854968072804983
32.0,51.0,2.928761408940255
23.0,39.0,1.4130706686445031
36.0,61.0,1.482018540890739
122.0,186.0,3.3885599396367923
17.0,29.0,0.41339500048500594
325.0,481.0,4.596003424355994
1743.0,2487.0,8.33604641624277
4.0,5.0,10.06249922392813
10.0,13.0,4.239373937844837
6.0,9.0,2.3753037392277223
22.0,28.0,3.8854968072804983
41.0,51.0,2.928761408940255
30.0,39.0,1.4130706686445031
48.0,61.0,1.482018540890739
150.0,186.0,3.3885599396367923
24.0,29.0,0.41339500048500594
384.0,481.0,4.596003424355994
1984.0,2487.0,8.33604641624277
5.0,5.0,10.06249922392813
13.0,13.0,4.239373937844837
8.0,9.0,2.3753037392277223
23.0,28.0,3.8854968072804983
43.0,51.0,2.928761408940255
35.0,39.0,1.4130706686445031
54.0,61.0,1.482018540890739
171.0,186.0,3.3885599396367923
25.0,29.0,0.41339500048500594
429.0,481.0,4.596003424355994
2270.0,2487.0,8.33604641624277
2.0,4.0,6.37725357931547
2.0,15.0,7.348132412686613
1.0,8.0,2.409453683044178
2.0,6.0,0.5365760942140572
13.0,98.0,6.92373922366019
10.0,177.0,4.622158835361935
15.0,120.0,1.2207341795972408
17.0,214.0,1.6239283124301922
8.0,87.0,0.5464844519447416
6.0,57.0,0.5108539667084375
18.0,221.0,1.9266217850889236
1.0,4.0,6.37725357931547
1.0,15.0,7.348132412686613
2.0,8.0,2.409453683044178
1.0,6.0,0.5365760942140572
24.0,98.0,6.92373922366019
26.0,177.0,4.622158835361935
21.0,120.0,1.2207341795972408
42.0,214.0,1.6239283124301922
18.0,87.0,0.5464844519447416
12.0,57.0,0.5108539667084375
41.0,221.0,1.9266217850889236
3.0,4.0,6.37725357931547
5.0,15.0,7.348132412686613
6.0,8.0,2.409453683044178
2.0,6.0,0.5365760942140572
31.0,98.0,6.92373922366019
51.0,177.0,4.622158835361935
49.0,120.0,1.2207341795972408
63.0,214.0,1.6239283124301922
20.0,87.0,0.5464844519447416
21.0,57.0,0.5108539667084375
65.0,221.0,1.9266217850889236
2.0,4.0,6.37725357931547
7.0,15.0,7.348132412686613
4.0,8.0,2.409453683044178
4.0,6.0,0.5365760942140572
36.0,98.0,6.92373922366019
79.0,177.0,4.622158835361935
51.0,120.0,1.2207341795972408
78.0,214.0,1.6239283124301922
35.0,87.0,0.5464844519447416
26.0,57.0,0.5108539667084375
88.0,221.0,1.9266217850889236
4.0,4.0,6.37725357931547
7.0,15.0,7.348132412686613
2.0,8.0,2.409453683044178
5.0,6.0,0.5365760942140572
55.0,98.0,6.92373922366019
101.0,177.0,4.622158835361935
68.0,120.0,1.2207341795972408
93.0,214.0,1.6239283124301922
43.0,87.0,0.5464844519447416
25.0,57.0,0.5108539667084375
113.0,221.0,1.9266217850889236
3.0,4.0,6.37725357931547
8.0,15.0,7.348132412686613
5.0,8.0,2.409453683044178
5.0,6.0,0.5365760942140572
55.0,98.0,6.92373922366019
111.0,177.0,4.622158835361935
70.0,120.0,1.2207341795972408
130.0,214.0,1.6239283124301922
54.0,87.0,0.5464844519447416
39.0,57.0,0.5108539667084375
141.0,221.0,1.9266217850889236
4.0,4.0,6.37725357931547
8.0,15.0,7.348132412686613
4.0,8.0,2.409453683044178
5.0,6.0,0.5365760942140572
71.0,98.0,6.92373922366019
130.0,177.0,4.622158835361935
87.0,120.0,1.2207341795972408
166.0,214.0,1.6239283124301922
58.0,87.0,0.5464844519447416
43.0,57.0,0.5108539667084375
150.0,221.0,1.9266217850889236
1.0,4.0,6.37725357931547
11.0,15.0,7.348132412686613
6.0,8.0,2.409453683044178
5.0,6.0,0.5365760942140572
85.0,98.0,6.92373922366019
153.0,177.0,4.622158835361935
84.0,120.0,1.2207341795972408
172.0,214.0,1.6239283124301922
70.0,87.0,0.5464844519447416
42.0,57.0,0.5108539667084375
176.0,221.0,1.9266217850889236
4.0,4.0,6.37725357931547
15.0,15.0,7.348132412686613
8.0,8.0,2.409453683044178
5.0,6.0,0.5365760942140572
93.0,98.0,6.92373922366019
162.0,177.0,4.622158835361935
108.0,120.0,1.2207341795972408
189.0,214.0,1.6239283124301922
80.0,87.0,0.5464844519447416
52.0,57.0,0.5108539667084375
196.0,221.0,1.9266217850889236
1.0,5.0,7.725666174976299
1.0,6.0,2.4123732762147743
0.0,10.0,2.5833111553987913
6.0,89.0,9.129990462932431
10.0,99.0,3.0632563922734732
5.0,31.0,0.4222318376788199
5.0,34.0,0.5085610220781666
27.0,349.0,5.409249659031527
1.0,16.0,0.11875617559251089
54.0,619.0,3.6793337550306413
180.0,1717.0,5.245962040602409
1.0,5.0,7.725666174976299
2.0,6.0,2.4123732762147743
1.0,10.0,2.5833111553987913
11.0,89.0,9.129990462932431
18.0,99.0,3.0632563922734732
6.0,31.0,0.4222318376788199
7.0,34.0,0.5085610220781666
77.0,349.0,5.409249659031527
2.0,16.0,0.11875617559251089
112.0,619.0,3.6793337550306413
370.0,1717.0,5.245962040602409
2.0,5.0,7.725666174976299
2.0,6.0,2.4123732762147743
4.0,10.0,2.5833111553987913
28.0,89.0,9.129990462932431
35.0,99.0,3.0632563922734732
10.0,31.0,0.4222318376788199
15.0,34.0,0.5085610220781666
98.0,349.0,5.409249659031527
8.0,16.0,0.11875617559251089
193.0,619.0,3.6793337550306413
528.0,1717.0,5.245962040602409
1.0,5.0,7.725666174976299
2.0,6.0,2.4123732762147743
4.0,10.0,2.5833111553987913
29.0,89.0,9.129990462932431
38.0,99.0,3.0632563922734732
14.0,31.0,0.4222318376788199
17.0,34.0,0.5085610220781666
141.0,349.0,5.409249659031527
7.0,16.0,0.11875617559251089
259.0,619.0,3.6793337550306413
701.0,1717.0,5.245962040602409
2.0,5.0,7.725666174976299
2.0,6.0,2.4123732762147743
7.0,10.0,2.5833111553987913
46.0,89.0,9.129990462932431
50.0,99.0,3.0632563922734732
15.0,31.0,0.4222318376788199
17.0,34.0,0.5085610220781666
176.0,349.0,5.409249659031527
11.0,16.0,0.11875617559251089
301.0,619.0,3.6793337550306413
874.0,1717.0,5.245962040602409
2.0,5.0,7.725666174976299
5.0,6.0,2.4123732762147743
5.0,10.0,2.5833111553987913
50.0,89.0,9.129990462932431
53.0,99.0,3.0632563922734732
18.0,31.0,0.4222318376788199
18.0,34.0,0.5085610220781666
212.0,349.0,5.409249659031527
9.0,16.0,0.11875617559251089
365.0,619.0,3.6793337550306413
1034.0,1717.0,5.245962040602409
4.0,5.0,7.725666174976299
4.0,6.0,2.4123732762147743
9.0,10.0,2.5833111553987913
66.0,89.0,9.129990462932431
75.0,99.0,3.0632563922734732
22.0,31.0,0.4222318376788199
22.0,34.0,0.5085610220781666
244.0,349.0,5.409249659031527
13.0,16.0,0.11875617559251089
465.0,619.0,3.6793337550306413
1221.0,1717.0,5.245962040602409
4.0,5.0,7.725666174976299
6.0,6.0,2.4123732762147743
6.0,10.0,2.5833111553987913
71.0,89.0,9.129990462932431
81.0,99.0,3.0632563922734732
26.0,31.0,0.4222318376788199
27.0,34.0,0.5085610220781666
277.0,349.0,5.409249659031527
10.0,16.0,0.11875617559251089
494.0,619.0,3.6793337550306413
1392.0,1717.0,5.245962040602409
4.0,5.0,7.725666174976299
6.0,6.0,2.4123732762147743
9.0,10.0,2.5833111553987913
78.0,89.0,9.129990462932431
84.0,99.0,3.0632563922734732
30.0,31.0,0.4222318376788199
29.0,34.0,0.5085610220781666
309.0,349.0,5.409249659031527
12.0,16.0,0.11875617559251089
554.0,619.0,3.6793337550306413
1539.0,1717.0,5.245962040602409
1.0,3.0,2.3456187876248347
0.0,5.0,2.774830987473921
1.0,8.0,4.216539048492011
6.0,55.0,10.667989573914017
4.0,41.0,1.6268051106643704
0.0,12.0,0.5705545091790092
3.0,13.0,0.36450364254241385
1.0,4.0,0.2569296144587905
0.0,9.0,0.6297040081037315
7.0,40.0,3.8789586345037548
5.0,70.0,3.1764148653593525
