reportedWeeklyI,weeklyI,trueR
3.0,3.0,0.28271328302381804
7.0,7.0,6.437391659877025
13.0,14.0,3.9695846663011434
142.0,187.0,16.392276747300357
284.0,481.0,6.621515436818454
188.0,427.0,1.8473473351911873
606.0,2237.0,5.409159457217408
625.0,3817.0,3.653018610831647
85.0,936.0,0.47010400379654826
86.0,1513.0,0.7609800223932794
89.0,3206.0,1.7189598497924385
1.0,1.0,0.4116637428041571
0.0,0.0,1.1612090387695098
1.0,1.0,12.77594793050724
0.0,0.0,0.058752940596579414
1.0,2.0,6.6462336585221635
0.0,0.0,0.15087404811209795
2.0,4.0,2.855101933701958
3.0,20.0,8.71425932181723
1.0,46.0,4.014097774143755
0.0,82.0,3.3078656774203576
5.0,253.0,4.456538348506162
2.0,2.0,1.448648823677267
0.0,0.0,1.3751226511872547
4.0,6.0,6.252613646130117
4.0,8.0,1.638665282270955
1.0,5.0,1.3434853470542367
9.0,19.0,3.19204942244388
18.0,77.0,7.150838911112489
5.0,33.0,1.6409873571492761
11.0,82.0,1.8796673169111324
14.0,299.0,4.629211442374807
6.0,132.0,1.0462562563712745
1.0,1.0,2.839963072140701
0.0,0.0,0.46953611228521563
2.0,5.0,5.686214009953153
3.0,5.0,5.200818939250961
16.0,24.0,5.638687264998364
0.0,1.0,0.1261656020537405
4.0,16.0,2.5835693540856552
0.0,3.0,0.38726547999404043
7.0,71.0,5.057361058679474
9.0,194.0,5.264567881867346
6.0,93.0,0.9126577326658403
2.0,2.0,6.279683348443436
0.0,0.0,1.9974638475028266
2.0,2.0,4.765000196349215
4.0,5.0,1.7963582527066966
5.0,8.0,2.006426263998808
0.0,1.0,0.6326530930287877
3.0,11.0,1.8955870854556234
2.0,8.0,1.263551952256841
3.0,35.0,3.3487992679502088
0.0,0.0,0.02134348025895
1.0,25.0,1.8091613556329955
1.0,1.0,0.14297032732949413
0.0,0.0,0.5613271637860319
0.0,0.0,1.6167246747058228
0.0,0.0,1.3845329451521962
0.0,0.0,2.8827660966970767
1.0,2.0,1.0955276168266468
0.0,0.0,0.8249878215796671
1.0,2.0,2.270154479644105
0.0,1.0,5.376489081471743
0.0,4.0,3.5502399604919455
0.0,7.0,2.7185553299283947
2.0,2.0,5.107630294094953
8.0,9.0,7.433815192747998
14.0,16.0,5.120505022948036
69.0,104.0,8.763542305218571
238.0,430.0,8.557623256695306
618.0,1505.0,7.417270218233236
50.0,220.0,0.3779478661202945
479.0,2665.0,3.507329492726784
17.0,194.0,0.1609367870085912
20.0,397.0,0.36487917520330926
292.0,10140.0,8.203126814892926
2.0,2.0,2.941616343052311
0.0,0.0,0.4101227341008902
2.0,4.0,3.5565173415123486
0.0,0.0,0.3586105343289639
1.0,2.0,1.3125010104102162
1.0,2.0,1.924487601594279
0.0,1.0,1.3622682511504485
2.0,15.0,9.7683592516352
0.0,37.0,4.643693408211332
3.0,22.0,1.1793554271142
0.0,3.0,0.1796608305478076
1.0,1.0,0.594685770847187
0.0,0.0,0.5657982547093335
0.0,0.0,0.17796957383819653
0.0,0.0,2.2146466931836284
0.0,0.0,5.803649865136345
0.0,0.0,8.983846875610965
0.0,0.0,4.539217623693842
0.0,0.0,7.056923929985003
0.0,0.0,0.6892901274340207
0.0,0.0,4.518237916258292
0.0,0.0,3.6279953416611797
2.0,2.0,4.197090559461563
1.0,1.0,1.183277474577029
3.0,4.0,3.2306732365657087
3.0,4.0,3.5541864262677283
1.0,3.0,1.7383071325124564
10.0,26.0,5.254694090603724
1.0,5.0,0.4402802154097352
0.0,2.0,0.4717786344452545
1.0,15.0,1.8151436862448609
1.0,25.0,2.882021228364063
2.0,69.0,3.5039293163541876
1.0,1.0,5.072826484087882
0.0,0.0,0.7956930385948833
4.0,4.0,3.8022266802008184
8.0,8.0,9.502089011234572
1.0,1.0,0.8482224413236334
1.0,1.0,0.41260212389635115
8.0,19.0,3.1657478790217044
7.0,35.0,4.0677384643544805
8.0,125.0,5.6922325753191085
1.0,26.0,0.42275156619495297
4.0,100.0,1.7011107567610417
1.0,1.0,0.1658480447275054
0.0,0.0,1.6800066691709044
0.0,0.0,1.358018369169609
0.0,0.0,1.3619873547831793
0.0,0.0,2.530768454100353
0.0,0.0,1.448330288767114
0.0,0.0,1.3342389972263191
0.0,0.0,3.728476193731775
0.0,0.0,0.09361207978795588
0.0,0.0,7.119892630443635
0.0,0.0,2.6628424684836007
1.0,2.0,3.9812322263442494
1.0,1.0,1.9198715923210665
2.0,2.0,0.5737760149325335
2.0,2.0,1.4686129505077892
14.0,20.0,7.306211424537663
5.0,20.0,2.5014312242628183
1.0,6.0,0.4146265751257628
5.0,19.0,1.2641594437104713
21.0,154.0,7.348690682528842
13.0,204.0,3.27537758954581
5.0,99.0,0.8884455841773367
1.0,1.0,1.559173453257057
0.0,0.0,0.16782376230813464
0.0,0.0,1.0995455255456772
1.0,1.0,1.8530489715088525
1.0,3.0,6.456844457478821
1.0,4.0,1.2302581260329024
1.0,6.0,2.4283545991659796
4.0,13.0,3.461972163227922
2.0,23.0,2.2208649099365076
7.0,69.0,4.60852903126332
3.0,101.0,2.896341500171049
1.0,1.0,1.9267961886440017
0.0,0.0,0.889744299354836
1.0,3.0,4.737442184607623
0.0,1.0,2.899175047619102
2.0,4.0,3.0745540471422195
1.0,4.0,0.8463219943445759
0.0,1.0,1.7097574572491991
1.0,8.0,3.0315352805852
0.0,0.0,0.2795654357935295
1.0,7.0,1.8661079152276816
2.0,42.0,4.98706652472171
1.0,1.0,1.278337199790485
1.0,1.0,2.243863745110554
1.0,1.0,0.4632031389372061
3.0,4.0,2.803040430762436
5.0,9.0,4.750155040640765
14.0,34.0,5.990067359734422
37.0,113.0,5.432684490290676
4.0,15.0,0.2856627964740751
4.0,62.0,1.183844990367412
18.0,338.0,4.47417371965334
0.0,12.0,0.08490489360850276
1.0,1.0,0.32832987962878046
0.0,0.0,2.0219489183073684
0.0,0.0,0.2778809958672555
1.0,1.0,1.6677381745431834
0.0,1.0,2.697619393484284
0.0,0.0,1.6380936789712695
1.0,1.0,2.971969802505434
0.0,3.0,2.3543587313678436
0.0,0.0,0.17153395979034913
0.0,2.0,1.8560046444589737
0.0,2.0,1.3340119576561436
1.0,1.0,3.407672605547841
0.0,0.0,1.5871162998126953
0.0,0.0,0.08950719515057276
0.0,1.0,7.9254828860449305
1.0,1.0,2.038497974558393
6.0,18.0,9.089627914317461
0.0,1.0,0.37331437840131265
4.0,27.0,3.296123426606049
2.0,55.0,4.387152845445539
6.0,81.0,3.132438388119782
4.0,100.0,1.980956247073651
1.0,2.0,2.5258010996719094
6.0,6.0,6.234484583813296
0.0,0.0,0.6174045093332857
33.0,51.0,12.609640231541693
10.0,15.0,1.5116428681129723
19.0,49.0,2.4709423446358265
16.0,85.0,2.2581525007574443
37.0,195.0,3.229204364240174
65.0,572.0,4.587347630938096
20.0,299.0,1.0862744695887991
30.0,899.0,2.5135419981701763
1.0,1.0,0.1401243340286931
0.0,0.0,1.4502076857585413
0.0,0.0,0.372458612553459
0.0,2.0,3.577973900901571
0.0,1.0,1.3544775855831772
0.0,0.0,0.08278420394984853
0.0,0.0,0.5888152909846514
0.0,0.0,3.704903532793071
0.0,3.0,8.224992861189007
0.0,0.0,0.26759996226456584
0.0,1.0,1.6412162005133333
