week,meanRt,lowerRt,upperRt,totalIterations,runTime
1,NaN,NaN,NaN,0,0
2,0.512787828317499,0.100662629202085,1.26131968357056,6637,1.201405821
3,1.0671180618135,0.449254658073153,1.92697079762174,12252,0.158349816
4,2.67834156414848,1.62444815227182,3.98212798073846,237390,3.148349209
5,0.404624806134385,0.0979283787762758,0.913719324266846,13183,0.213047439
6,0.420429470100593,0.11415257268678,0.912293511805081,12608,0.226560494
7,1.67618640786913,0.948110808910144,2.74202220272082,36798,0.624290503
8,1.60401745535082,0.925188453933304,2.46367507342065,36959,0.73621649
9,0.674963831402507,0.282039713691084,1.22052885752275,13753,0.327735512
10,0.406496848735259,0.124050812311276,0.887683390807958,12758,0.312785308
11,1.35217545965947,0.725528290531751,2.24128973818262,22902,0.540461659
1,NaN,NaN,NaN,0,0
2,0.61423221899799,0.244044204110154,1.15096508369658,14184,0.273310507
3,0.892908782819749,0.486871317161931,1.43976598326158,20853,0.26293757
4,1.9013462231135,1.22463076160159,2.70411637773537,91208,1.287553935
5,0.489964792187319,0.215705494295094,0.888518699248716,21324,0.402299744
6,0.409368824719162,0.146326111182464,0.789581288214032,20114,0.56108802
7,1.24683030529405,0.691295793671011,1.93293040575496,29912,0.620502392
8,1.81606432453892,1.16262293613448,2.64576184861721,70914,1.438353056
9,0.869426602643128,0.478321042558112,1.43283200653475,25045,0.569672342
10,0.908350601745545,0.502921447560653,1.44317037323742,25273,0.911093137
11,1.77817305572904,1.15965464711384,2.4857403065501,85965,2.007986893
1,NaN,NaN,NaN,0,0
2,0.281182344690214,0.0840302277546181,0.59082095267077,23410,0.401006574
3,1.35141744152769,0.878753394281726,1.93878823404548,44983,0.810724396
4,2.28951622099407,1.65513243566042,3.05186988478772,247649,3.506475626
5,0.324805049499961,0.144250192899209,0.595439803170474,35791,0.535174694
6,0.581313175561595,0.313226280282326,0.936675083876723,30374,0.50930823
7,1.15740285577513,0.711440529477817,1.69513787906724,40150,0.782250355
8,2.06928571712304,1.46879957898695,2.75947620119107,170543,3.797685213
9,0.994381806783568,0.651000838263841,1.44812580854046,45272,1.005024361
10,0.496917351340236,0.251687459044581,0.821954064646639,34335,1.068156427
11,1.64697406554544,1.17368116331636,2.23052817033233,105098,1.970908882
1,NaN,NaN,NaN,0,0
2,0.641933213577588,0.276611638731746,1.17875196433481,14985,0.251432137
3,1.51448408196395,0.988951024844694,2.21241631553606,58999,0.806277785
4,2.77232854091978,2.0586607421831,3.59274963501779,625539,8.883448765
5,0.312359884909592,0.139814103865279,0.561585868329532,43478,0.65780928
6,0.439947986077338,0.222583327549834,0.720485502923287,38717,0.636918531
7,1.29394767927308,0.855743516934739,1.7766979916027,61316,1.187393602
8,2.15666640927609,1.57750741723338,2.80323213479516,232127,4.595684602
9,1.08651450312132,0.760096381059914,1.49247345749456,67528,1.501535306
10,0.682738063527848,0.429167967492211,0.97900307290255,47557,1.33568192
11,1.73424921696343,1.31725328911362,2.24911641218725,164894,3.431038641
1,NaN,NaN,NaN,0,0
2,0.383262130028581,0.159532749431746,0.695028738845267,25162,0.435652415
3,2.01959926467316,1.46819836450695,2.67262074003165,174468,2.498910574
4,2.44257839546971,1.90821478494579,3.07801692264883,486115,6.745711964
5,0.257470079074982,0.125814891695528,0.42169824814067,70599,1.308888333
6,0.522738561634595,0.329872119167658,0.765062705285759,52775,0.852859779
7,1.27781313198645,0.898198316395861,1.7082839451015,83938,1.691745304
8,1.70537092553246,1.28028566210816,2.18823289340576,155925,3.028209676
9,1.08251141453124,0.793808089032179,1.4258615585358,80079,1.82093103
10,0.818759119266512,0.549040788005306,1.14005055465389,65899,1.5255511
11,1.73004190280383,1.33530136046759,2.13514008494763,207157,4.401853825
1,NaN,NaN,NaN,0,0
2,0.202026335535852,0.0710126101982706,0.406995519926978,49038,0.68842781
3,1.24808297878574,0.886422678362373,1.70881578085343,73132,0.958269029
4,2.51835061205071,1.99958216677301,3.11614985158973,579006,7.907951759
5,0.284744218441782,0.150367989446994,0.463591973609874,68971,1.114153131
6,0.359693467814918,0.194825960902445,0.561088044544563,54624,1.139450155
7,1.28659735560044,0.911867790546691,1.74057009088486,81491,1.651345306
8,2.35903266677519,1.86211013428724,2.9398456728726,432586,8.283204763
9,1.14309369690324,0.833802593246534,1.47445114832551,95720,2.394308323
10,0.739130657720742,0.520089714463112,0.998299655548297,70799,1.707452326
11,1.60866787310867,1.2720740558055,2.00767841925974,204547,4.310800914
1,NaN,NaN,NaN,0,0
2,0.441329825792293,0.222007014889285,0.722693709720047,32779,0.532339171
3,1.34248718439734,0.984445826088503,1.75568920517087,83826,1.081319907
4,2.51848731831229,2.01389296692151,3.10875866106037,620984,8.734544082
5,0.294666571870488,0.16682015806636,0.464167039072712,72148,1.316005786
6,0.433514169024708,0.262705296859756,0.650234249358647,56799,0.949587235
7,1.439817033826,1.07986318233344,1.86423012862835,112878,2.10960502
8,2.05697544564426,1.60015268169857,2.50324686882474,302828,5.891222088
9,1.08987090785366,0.815779869951196,1.3902623171595,111372,2.459846953
10,0.760385323238176,0.551158242918009,0.993037553943283,88439,2.033835306
11,1.5883340689521,1.26672760796277,1.98525821647681,230010,5.638026178
1,NaN,NaN,NaN,0,0
2,0.39078228454755,0.195394860481723,0.676825182176951,42582,0.603954793
3,1.38429624293668,1.05652706292739,1.76862533908616,110874,1.526352955
4,2.46706933039427,2.02730496239746,2.98126631633837,687554,9.899723174
5,0.222564841650623,0.117620400647789,0.361864741707274,107983,1.852919639
6,0.507011629848143,0.332829067912467,0.729478210579084,74513,1.421680032
7,1.30139047289647,0.96845969849903,1.66358362540672,109868,2.127257546
8,1.92464092271905,1.54760782318889,2.32857627926974,293789,5.720339062
9,1.26363673744394,1.00028465717389,1.54464202361002,151047,3.479090344
10,0.704613294454963,0.50996357684538,0.919229207932192,95361,2.151675199
11,1.60711107496655,1.29608567812439,1.92468870635153,273151,5.531519435
1,NaN,NaN,NaN,0,0
2,0.315645041619333,0.154455426156202,0.539633832216271,46376,0.651946759
3,1.45943652626356,1.09253358299502,1.88093734843584,126361,1.903999431
4,2.71680246496737,2.25353261528439,3.20525348513973,1045883,14.4508868
5,0.301910095900808,0.182190665905277,0.445322738735502,101126,1.901937255
6,0.48480610402239,0.330655871876144,0.664094386200121,84129,1.779312486
7,1.23229656388682,0.926386652227422,1.562781910141,120793,2.339854539
8,1.94130507034648,1.58228565225183,2.34449163616057,357042,7.024813578
9,1.15546126176034,0.905967580543885,1.43291495540058,141330,3.175428584
10,0.738574839503437,0.554402239843483,0.959908713187592,108839,2.561764543
11,1.70367942936523,1.41128603313638,2.03027675707472,339657,7.716075238
1,NaN,NaN,NaN,0,0
2,1.05066938670834,0.393605153601862,2.08628314884524,9900,0.186003196
3,1.24553363834971,0.544424253505139,2.26384498708714,16241,0.221584879
4,2.20294979618848,1.34043712874532,3.26452607355349,116115,1.722499648
5,0.364357623422335,0.111932513957523,0.79798938469738,15185,0.225738467
6,1.13465959343608,0.58541143133311,1.89078851226659,22554,0.596506625
7,0.298770758797116,0.0604345146503775,0.725545020920152,15178,0.333876105
8,0.745425040113629,0.277926747964084,1.46383909477122,10431,0.212466292
9,0.617894873035708,0.172887216801753,1.3428959476388,7637,0.184280123
10,0.729897344564121,0.184276830627056,1.56168396522726,6591,0.170570801
11,2.34621781551389,1.21691907120509,3.89522487191719,101837,2.353412182
1,NaN,NaN,NaN,0,0
2,0.462332629154092,0.121707899879509,0.968850219336543,10390,0.197748976
3,1.01905853412314,0.49536665918075,1.72003884552523,18287,0.245953118
4,2.4258091369687,1.55485212384398,3.43490201017351,190032,2.795839841
5,0.989909087840669,0.540759052111554,1.57841512220697,25099,0.412621235
6,0.887586144690835,0.490153048578242,1.39012593077716,25182,0.43611923
7,0.136132514431363,0.0178628477975966,0.38488129696944,53130,0.981561997
8,1.63623077111659,1.00472001621243,2.42479732457991,54455,1.369426475
9,0.757468887652845,0.353058420818783,1.33705950416434,17187,0.399788982
10,0.609703600777871,0.240359879193036,1.1684943472919,14821,0.351673803
11,1.52738953828857,0.900334183122932,2.35923037888328,37724,0.87577991
1,NaN,NaN,NaN,0,0
2,1.29279897631671,0.714190960142238,2.09753862118694,25125,0.421060329
3,1.08614617878078,0.616527535377853,1.72159884266487,28145,0.357764248
4,2.83088498806083,2.06093450189453,3.65667455481453,608878,8.646772074
5,0.892937763550864,0.561901986140976,1.3080500654916,39593,0.86081785
6,0.768340447070558,0.487452180457604,1.14398094470767,42917,0.748190953
7,0.24864936001962,0.0898557181330812,0.478562710288026,40686,1.03371829
8,0.818561724545718,0.441828995519075,1.29765106891132,28894,0.551153604
9,0.593328885356075,0.27206515523655,1.0665317069522,19822,0.442458219
10,0.862961002299586,0.448212278538737,1.41543026128278,20150,0.497419224
11,1.86298481120847,1.18646649159776,2.72253784406166,87348,2.031958688
1,NaN,NaN,NaN,0,0
2,0.664637444474313,0.335822896704554,1.10970275207524,24331,0.464183041
3,0.902244179240937,0.55887767155226,1.34526624095627,37836,0.466200002
4,2.76888462271742,2.16594934036667,3.47855174945613,698597,10.239067837
