week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,trueWeeklyI
1,2018-05-03,NaN,NaN,NaN,0.0,0.0,1,3
2,2018-05-10,1.9589641376296112,0.03912701075858317,8.314796214564316,100002.0,0.08530266,0,0
3,2018-05-17,3.6388697542989394,0.33654183875397725,12.265214438447,112197.0,0.226440543,1,7
4,2018-05-24,1.53117971267232,0.031782132976687354,6.411567984915316,100002.0,0.343537984,0,0
5,2018-05-31,1.8025132482259598,0.03975226774384219,7.468016968290998,100002.0,0.1529465,0,0
6,2018-06-07,3.7602284258358423,0.3570756834958518,12.312881247867418,113093.0,0.169813194,1,7
7,2018-06-14,1.6173671420241904,0.034470818729137875,6.767177620742428,100002.0,0.210148858,0,0
8,2018-06-21,1.8581919729170284,0.03915672998635476,7.682273903000247,100002.0,0.18731967,0,1
9,2018-06-28,3.8780137595575286,0.37413074942213137,12.726532278168987,113529.0,0.171981788,1,3
10,2018-07-05,1.6550035206747955,0.033669752408513554,6.937674742454293,100002.0,0.167016575,0,2
11,2018-07-12,4.682363031618213,0.7429594829555196,13.633016718518068,121434.0,0.190392395,2,12
12,2018-07-19,2.8910135669576733,0.48128189955409745,8.310010887637048,109245.0,0.170384241,2,9
13,2018-07-26,5.048964860513865,1.6643768843825242,11.340428955442801,122230.0,0.187119533,7,34
14,2018-08-02,4.489419503182209,2.111040962634445,8.305712760279386,119295.0,0.188222517,15,76
15,2018-08-09,2.527012332556359,1.3645008347336713,4.20264395832071,110238.0,0.176435781,19,94
16,2018-08-16,0.5497382763993421,0.21343129440724445,1.0721173463096754,101985.0,0.156813502,6,30
17,2018-08-23,0.7888373585997194,0.34563944064261665,1.4507187119541145,102888.0,0.165548372,8,39
18,2018-08-30,0.6967948639743569,0.2652682990253236,1.3679627914236763,102400.0,0.165186055,6,28
19,2018-09-06,0.8340844549287693,0.3191387070833276,1.6417919855483614,102793.0,0.16229322,6,32
20,2018-09-13,0.8217607962733496,0.2850497270095173,1.6894710271224678,102848.0,0.164061821,5,24
21,2018-09-20,2.024654934175713,0.9787391372618935,3.5624805268150217,107809.0,0.178116972,12,62
22,2018-09-27,1.811114627962068,0.9247846935045082,3.1008589947587013,107041.0,0.16705048,14,69
23,2018-10-04,1.400556003497215,0.7309553440188632,2.355249782102809,105380.0,0.170117469,14,69
24,2018-10-11,1.5225430665608353,0.8533117748845598,2.444922684684979,106026.0,0.176702229,18,91
25,2018-10-18,1.884034200658596,1.1640405535082186,2.8328052523965708,107490.0,0.165113,27,134
26,2018-10-25,1.0685056681620144,0.6238605229039078,1.6501514228019845,104232.0,0.167283223,20,100
27,2018-11-01,1.0568501116242544,0.6330168227989666,1.6224123543721942,104195.0,0.170261122,21,104
28,2018-11-08,0.8936681554697659,0.5158055590308129,1.4009858484509674,103604.0,0.163509818,18,91
29,2018-11-15,0.7456002273874499,0.40001134861384074,1.2103291107928893,102948.0,0.162440565,14,69
30,2018-11-22,1.117942602298921,0.6557467503815059,1.73568015427982,104325.0,0.197987912,19,96
31,2018-11-29,1.6251437475094124,1.031331391619884,2.39148794781629,106578.0,0.163764757,28,140
32,2018-12-06,0.9342937443730939,0.5433420334165379,1.4453408287828664,103729.0,0.168246024,19,94
33,2018-12-13,0.7442782328848425,0.41052072516895877,1.1964512772767915,102919.0,0.166638349,15,75
34,2018-12-20,0.827783948822773,0.46003865308151815,1.3344151301841822,103377.0,0.15903349,15,75
35,2018-12-27,1.034290394287991,0.5843384048487766,1.6294804721905725,104022.0,0.162331396,17,83
36,2019-01-03,1.2444266387875755,0.7336766101253648,1.9255039156278604,104771.0,0.170597697,20,102
37,2019-01-10,1.0568710739402003,0.6045167392425206,1.6569033310173746,104220.0,0.161203225,18,89
38,2019-01-17,0.8751136348749099,0.4782482583600179,1.3987220811593497,103439.0,0.163103842,15,77
39,2019-01-24,1.387646464290583,0.8469614445545235,2.101678455416623,105457.0,0.170603854,23,115
40,2019-01-31,0.783847164049484,0.4201264986236029,1.2755727923716234,103016.0,0.160352812,14,68
41,2019-02-07,0.7279764354846012,0.3714489176544746,1.220630543225724,102736.0,0.16543902,12,58
42,2019-02-14,1.0254303634896265,0.5594739191142726,1.664365402478858,103828.0,0.171407066,15,73
43,2019-02-21,1.004241587805267,0.5351920780944361,1.6400896433253838,103859.0,0.159966339,14,71
44,2019-02-28,1.0979071923912387,0.5989083705258232,1.7805905935309534,104158.0,0.168986618,15,74
45,2019-03-07,1.6246303774263304,0.9766103235403019,2.480025897299568,106403.0,0.173892925,23,116
46,2019-03-14,2.0773164308108485,1.3622302353039148,2.977289968188553,108338.0,0.164561557,36,179
47,2019-03-21,1.402251206837139,0.9258866906534099,1.9951555632868767,105800.0,0.169067965,34,170
48,2019-03-28,1.5514514943673514,1.0864746828226877,2.128478110789917,106584.0,0.171847853,45,226
49,2019-04-04,1.3524566708495882,0.9619342392642228,1.8249026426561512,106621.0,0.163218253,48,240
50,2019-04-11,1.1970002927856558,0.8550955544629188,1.6070502238489575,106930.0,0.168447687,49,245
51,2019-04-18,1.429360437605202,1.0662258069154427,1.861834475592071,108203.0,0.173468341,64,322
52,2019-04-25,0.9444989135048836,0.6822531721018731,1.2550851923459774,108535.0,0.159371173,49,246
53,2019-05-02,1.3915574482591524,1.0570911241608,1.7916986491360873,109556.0,0.171997954,73,363
54,2019-05-09,0.7474762868939988,0.5352397364109693,1.0024148837262286,110320.0,0.1754716,44,221
55,2019-05-16,0.8028611030203883,0.5706923660668888,1.0767160129890763,109278.0,0.162865225,44,218
56,2019-05-23,0.5312603203530737,0.34635341873524556,0.7627272243129775,107430.0,0.160724192,26,128
57,2019-05-30,1.0007826689481338,0.6969085127329012,1.3590429932402057,106166.0,0.170912227,40,199
58,2019-06-06,1.2916294163485615,0.9286207784076005,1.7248628956430871,106583.0,0.161874578,49,246
59,2019-06-13,0.9045596126764585,0.6161619170998841,1.2521545627241661,106036.0,0.168211834,37,183
60,2019-06-20,1.0462366097514029,0.7349276282183579,1.4184188464086922,106347.0,0.176112948,42,210
61,2019-06-27,1.038990706017366,0.7275218503787055,1.4138314469029278,106326.0,0.162003183,42,210
62,2019-07-04,0.9373634803533247,0.6452258048369346,1.2909128865873845,106076.0,0.16678983,38,192
63,2019-07-11,1.2122792992733602,0.8652370541982133,1.6316308751386306,106883.0,0.173566204,48,240
64,2019-07-18,1.1191774640042844,0.8018417331463548,1.5075847953063874,106808.0,0.161474634,47,234
65,2019-07-25,0.7745607973047517,0.5252714512557783,1.0801778210924609,106098.0,0.167728376,34,169
66,2019-08-01,0.8629078940885581,0.5871701093830295,1.2022608028982846,105882.0,0.170020968,35,175
