week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI
1,2018-09-21,NaN,NaN,NaN,0.0,0.0,22
2,2018-09-28,2.9013239291923525,1.7933364477949751,4.334838283957194,159201.0,0.108625253,22
3,2018-10-05,1.8375831839131682,1.1921050587581592,2.6309102083452727,135300.0,0.117133814,26
4,2018-10-12,1.8769304893258505,1.3031914222810295,2.560535138443453,137955.0,0.126308983,37
5,2018-10-19,1.689758866620441,1.2224953385431847,2.243317718695187,138505.0,0.348932672,45
6,2018-10-26,0.9682636914224816,0.6530866356565417,1.33702965428386,130139.0,0.1065517,33
7,2018-11-02,0.8869774444506292,0.6079081767337394,1.231514307970837,129206.0,0.125499627,31
8,2018-11-09,1.1900086573298598,0.8488246245123525,1.5862029175863557,133796.0,0.118714132,40
9,2018-11-16,0.8633686194364318,0.5808807907110612,1.1966828409055787,128639.0,0.115469364,30
10,2018-11-23,0.9881943075624247,0.677062135603207,1.356262532763225,129565.0,0.108818348,33
11,2018-11-30,1.7008221144926632,1.289279074491933,2.181991554594725,142968.0,0.138462903,56
12,2018-12-07,1.0582468883218579,0.7737517253544391,1.3944717985291684,137564.0,0.168384778,43
13,2018-12-14,0.5035199460475634,0.31322294569018994,0.740673845581857,130560.0,0.300940535,21
14,2018-12-21,0.9307685428177976,0.6387652926255025,1.2772310720000075,130428.0,0.116414265,33
15,2018-12-28,0.6841996827135822,0.4288637066888019,0.9998666200985937,124094.0,0.112981623,22
16,2019-01-04,1.4185596405713452,1.0048669672430695,1.9009355992140158,133630.0,0.119095249,40
17,2019-01-11,1.0929808401790702,0.7601546037512418,1.4946161658011872,129897.0,0.109255131,34
18,2019-01-18,1.3438353255188933,0.9818564106874967,1.7786025854771037,135803.0,0.116100645,44
19,2019-01-25,0.8813097807550039,0.6044351607563881,1.2100609248620062,130873.0,0.124120554,32
20,2019-02-01,0.7627261806378327,0.5010167598121243,1.0872085575102926,128151.0,0.110912447,27
21,2019-02-08,0.7594901771936055,0.4925663955675414,1.0964051746388355,124237.0,0.10852601,24
22,2019-02-15,0.9936097772674913,0.6604096782488331,1.383382388044255,125525.0,0.106390474,28
23,2019-02-22,1.2154259265406793,0.8415062208313887,1.6741858937789023,129247.0,0.116172687,33
24,2019-03-01,1.2198603273579278,0.8495768692882008,1.6533045541736953,130407.0,0.12261252,35
25,2019-03-08,1.4689869261201147,1.0660825423639004,1.9398421119124918,137669.0,0.123195501,46
26,2019-03-15,2.185644233140683,1.7320711570527016,2.6981073510643956,157389.0,0.132330429,81
27,2019-03-22,1.2960951385167536,1.0003928516368177,1.6258753072222505,153479.0,0.127911654,69
28,2019-03-29,1.4263078776000317,1.1489713486299356,1.7458623516140106,164129.0,0.132659056,89
29,2019-04-05,1.3804088694096976,1.1200580396731388,1.6678759420130018,173523.0,0.138479074,101
30,2019-04-12,1.3379638258938906,1.0949897826527828,1.6064384836693126,184136.0,0.144189233,114
31,2019-04-19,1.1461696112591393,0.9442848566798858,1.37160906472613,193558.0,0.152853052,112
32,2019-04-26,0.9721888241117401,0.795009884542597,1.1746531098308972,198236.0,0.161954808,102
33,2019-05-03,1.263294816993024,1.0570140537793729,1.4898780622908936,201172.0,0.158108438,133
34,2019-05-10,0.8231823001451144,0.6588173965892103,1.005090164570826,207230.0,0.184159914,94
35,2019-05-17,0.7649835665314454,0.6059772428134599,0.936156564838483,199461.0,0.169937276,83
36,2019-05-24,0.6521959736687595,0.49943998912823795,0.8256113633278662,189880.0,0.160459283,64
37,2019-05-31,1.0169898501465877,0.8116182002720765,1.2371595471189252,179431.0,0.152368294,85
38,2019-06-07,1.1143286581632816,0.8955451823164083,1.3610976603752125,177634.0,0.150661231,90
39,2019-06-14,0.8786056418697528,0.6822253412510065,1.0967383968450848,177298.0,0.152259493,73
40,2019-06-21,1.2097988939265354,0.9785633370341631,1.4737031776826515,178868.0,0.145642487,97
41,2019-06-28,0.9433321705894786,0.7404299033495426,1.1704114547756101,179026.0,0.152880166,80
42,2019-07-05,0.952771733770079,0.7504394515960846,1.168935295177437,179549.0,0.145259707,80
43,2019-07-12,1.1804709798365276,0.956471673281604,1.436154752262537,179037.0,0.154491884,97
44,2019-07-19,0.9719620623234846,0.7729929660069015,1.1984385151882049,181606.0,0.148868285,84
45,2019-07-26,0.8581205469412485,0.6666864775924763,1.0644780411372272,179436.0,0.154926585,74
46,2019-08-02,0.8461810770526128,0.658696428019192,1.055642168473844,175390.0,0.143959239,69
47,2019-08-09,0.8832700563204107,0.6804576078800023,1.111714855523354,169377.0,0.147505772,67
48,2019-08-16,0.9967669089812629,0.777760216652394,1.2473319198928992,166453.0,0.140018347,71
49,2019-08-23,0.7914833467216269,0.5933387435389544,1.0087952647054417,162400.0,0.147666504,55
50,2019-08-30,0.5990032550520232,0.42672849537180424,0.7970073088468007,154717.0,0.136449158,38
51,2019-09-06,0.8620144081600628,0.628765022585543,1.1381495069570644,146328.0,0.124523964,46
52,2019-09-13,0.7155810523019643,0.485752886777236,0.9680476565076447,138927.0,0.128183221,34
53,2019-09-20,0.4424675439659457,0.26292319199212066,0.6663721803778233,128668.0,0.114685621,18
