week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI
1,2018-05-03,NaN,NaN,NaN,0.0,0.0,2
2,2018-05-10,1.0593792940863764,0.024865567771994765,4.118683115214472,100002.0,0.70833342,0
3,2018-05-17,2.660057616946218,0.4807308178640095,6.964233773632691,143740.0,1.251717165,2
4,2018-05-24,0.7635557716202712,0.01971175183055461,2.90585846273386,100002.0,0.948848956,0
5,2018-05-31,0.8713957169511319,0.022069045725923952,3.2688314464578783,100002.0,1.69125968,0
6,2018-06-07,2.915171055565233,0.557455490691836,7.490497214046737,154094.0,1.493463978,2
7,2018-06-14,0.8534261008866524,0.02177163607838527,3.2190590788970646,100002.0,0.905459392,0
8,2018-06-21,1.7578935366028803,0.19960444249256815,5.112941674744664,119022.0,1.436074751,1
9,2018-06-28,3.1332957501844922,0.7823830538172437,7.338910868217747,159367.0,2.0398912,3
10,2018-07-05,1.14775395075203,0.13349681999848864,3.33691378422869,109989.0,1.676163986,1
11,2018-07-12,2.457046144192879,0.7506249148456909,5.310986337881438,140197.0,1.344447207,4
12,2018-07-19,1.859470714949106,0.5722614559446246,3.996706480105562,126889.0,1.571580317,4
13,2018-07-26,3.792432024225067,1.9665449199062657,6.3578819387520635,178251.0,1.671571239,14
14,2018-08-02,3.144437743426878,1.9148562041383117,4.745838755739821,158223.0,2.011801279,23
15,2018-08-09,2.676375652929842,1.8205825141586,3.7269918513023783,146672.0,1.650643162,37
16,2018-08-16,0.506719969138577,0.24688504948153508,0.8617599621722971,107384.0,1.607674081,10
17,2018-08-23,0.7409511443062045,0.41751468137995573,1.1601622221633998,111152.0,1.149653705,15
18,2018-08-30,0.5444348644873342,0.26110469899709626,0.9358211007636519,107764.0,1.425019241,9
19,2018-09-06,0.7397572438747017,0.36470181559416365,1.2548018805739753,109986.0,1.17035971,10
20,2018-09-13,1.0269908026238874,0.54118881090453,1.6860496614340017,114464.0,2.067890257,12
21,2018-09-20,1.9785858889471517,1.2485440795677445,2.905485064501848,131897.0,1.339317619,24
22,2018-09-27,1.3244438677033863,0.7965077657941709,1.987795994344569,119964.0,1.56938981,20
23,2018-10-04,1.4763768310910506,0.9598746802805578,2.1178026509980725,122950.0,1.241443794,27
24,2018-10-11,1.5469333674077188,1.053164057874032,2.149101669575569,124547.0,1.557149617,34
25,2018-10-18,1.6219535324236196,1.16668974632069,2.159403498679597,126588.0,1.271144183,44
26,2018-10-25,1.12619094332971,0.7826001704880428,1.5299441556390065,118878.0,1.496992411,37
27,2018-11-01,0.8466901267154198,0.5695952037065003,1.1810745787805417,115087.0,1.17288537,30
28,2018-11-08,1.0338964165321027,0.7205132981755136,1.4101955555279684,117821.0,1.499894476,36
29,2018-11-15,1.0211740949667658,0.7113872742417319,1.3986370557255452,117565.0,1.202674658,35
30,2018-11-22,0.9117447867521266,0.6189688958879972,1.2600475910961706,116159.0,1.506925191,31
31,2018-11-29,1.6149183005467849,1.2084534165593777,2.0833369779082607,127968.0,1.269746044,56
32,2018-12-06,1.1068044823380057,0.7969286190864368,1.4730830292169392,119745.0,1.502174746,44
33,2018-12-13,0.536002052554135,0.33584748679293247,0.7806632964069525,112116.0,1.167343893,22
34,2018-12-20,0.8209747658917245,0.5516693768755009,1.1442930153487962,115112.0,1.496057963,30
35,2018-12-27,0.8717257830006722,0.575896267999146,1.2263828857398178,115106.0,1.175793806,28
36,2019-01-03,1.2181682756023948,0.8503792363769471,1.6532674932107831,120318.0,1.527481478,37
37,2019-01-10,1.139196003457958,0.7940933216833861,1.5573121470577749,118942.0,1.24568162,36
38,2019-01-17,1.023462693206081,0.7048669704673051,1.4095164107820077,117373.0,1.56459026,34
39,2019-01-24,1.1927834482198687,0.8560375866800765,1.6071780944091083,120195.0,1.266694269,41
40,2019-01-31,0.7180237827088107,0.4643920435329578,1.028688234789561,113179.0,1.525269722,25
41,2019-02-07,0.7448551536172195,0.4737684173343325,1.0751980598545798,113036.0,1.214881404,24
42,2019-02-14,1.065927064104395,0.71958437259648,1.4866940858215918,117620.0,1.576642065,31
43,2019-02-21,1.0249357228127731,0.6861906713535229,1.4366768995016885,116360.0,1.202528766,29
44,2019-02-28,1.1836139617451984,0.8089458688655611,1.6305894494045095,119198.0,1.516310705,34
45,2019-03-07,1.4181376834165027,1.0166639999705613,1.8840572017108874,124027.0,1.247522504,44
46,2019-03-14,2.0906834042816387,1.619239494192195,2.62042089651193,136842.0,1.637169686,78
47,2019-03-21,1.3508625928360316,1.03630244810014,1.7085236240986776,125637.0,1.281078344,68
48,2019-03-28,1.3846580987188613,1.0963074572482376,1.7119301705411294,128968.0,1.591366402,85
49,2019-04-04,1.481300354005746,1.2039168840449783,1.7826078614253784,132816.0,1.330611787,107
50,2019-04-11,1.1647778218285065,0.9405628265435738,1.4149105726395186,130954.0,1.620899265,99
51,2019-04-18,1.3158152706547255,1.0863791063812345,1.567383252633977,135447.0,1.337539502,125
52,2019-04-25,0.9656725943237302,0.7850106359244269,1.1680749027227864,132697.0,1.629146738,101
53,2019-05-02,1.249713698013262,1.0431446514667226,1.4771242007435303,137952.0,1.366205701,136
54,2019-05-09,0.8229410976916913,0.6585056472224813,1.0070556134291229,134030.0,1.635043252,94
55,2019-05-16,0.7895812504848978,0.6301781578761565,0.963819084822914,132929.0,1.334106363,87
56,2019-05-23,0.6347205146924326,0.4851285162320317,0.8045464993774515,129291.0,1.606981527,63
57,2019-05-30,0.8937655269209027,0.7025591312649864,1.1087307542585325,128346.0,1.296109647,77
58,2019-06-06,1.1536998741094786,0.9227575131699745,1.4091710779124171,130127.0,1.603720352,92
59,2019-06-13,0.9170855414906494,0.7163175692803033,1.1470838520950397,126347.0,1.285495181,74
60,2019-06-20,1.1752943139479735,0.9447332564270752,1.4329891039095735,130016.0,1.608206956,95
61,2019-06-27,1.0172368218704744,0.8055814511663018,1.249439068008418,128983.0,1.303190262,85
62,2019-07-04,0.9301395304718164,0.7356692930852675,1.1554446430526804,128138.0,1.60482468,79
63,2019-07-11,1.1181497524864996,0.8947154912270638,1.359187077075734,129854.0,1.30955447,94
64,2019-07-18,1.0485241825510316,0.8367815287642707,1.283308562530276,130036.0,1.619898739,90
65,2019-07-25,0.7979869468868991,0.6185687832730856,0.9990546468255688,126848.0,1.285930959,69
66,2019-08-01,0.8918149094367959,0.6965903634312584,1.1128121122204124,127277.0,1.601292286,73
67,2019-08-08,0.8639790050034513,0.6649930350138704,1.0907701424811065,125332.0,1.270656536,66
68,2019-08-15,0.9716066156288322,0.7506796178420366,1.2149930978221948,125592.0,1.575215974,70
69,2019-08-22,0.9075712154964575,0.6970418204976506,1.1498288143060498,124109.0,1.270251556,63
70,2019-08-29,0.5732605912521407,0.4053563537321184,0.7710623916193702,118965.0,1.535657769,37
71,2019-09-05,0.806864546402716,0.5880832807874149,1.060449516808872,119280.0,1.220777556,45
72,2019-09-12,0.7066147353325779,0.48936864436311467,0.9633744336208918,116019.0,1.525405528,34
73,2019-09-19,0.4730001628142042,0.28835068236374745,0.7052551676101065,111198.0,1.177866831,19
74,2019-09-26,0.5964455397057652,0.36158152345786976,0.8937026016327495,110832.0,1.496408546,19
75,2019-10-03,0.5349873086812803,0.2890665178909488,0.8530002052240357,108969.0,1.143054751,13
76,2019-10-10,0.9622555102105813,0.5853407234257008,1.4385673050177417,114732.0,1.484486763,19
77,2019-10-17,1.0635536139137027,0.6441524274085325,1.597447277471438,115543.0,1.246601765,19
78,2019-10-24,0.8137621444949236,0.45460589032004234,1.288500476646811,111824.0,1.533762133,14
79,2019-10-31,0.6458018498871296,0.3156131781540871,1.095077224823581,108842.0,1.170853934,10
80,2019-11-07,0.622771037945778,0.2830265003955335,1.1032535956258345,108196.0,1.441943915,8
81,2019-11-14,1.301346603610817,0.7272498793054334,2.050424764620383,119262.0,1.281047692,15
82,2019-11-21,0.8201368018411411,0.384078981008936,1.4186891031184563,111139.0,1.504085366,9
83,2019-11-28,1.1036862790089657,0.578318042310571,1.8088225577481565,115306.0,1.219775301,12
84,2019-12-05,2.4428263862598225,1.60922448163122,3.4574376075178948,141663.0,1.715811159,30
85,2019-12-12,0.8735222360534329,0.47885004267497405,1.3984322176951076,112431.0,1.227061172,14
86,2019-12-19,0.4999423256151688,0.2252298181077909,0.8931565039519604,107040.0,1.47244966,8
87,2019-12-26,0.9776296315625405,0.5369883687622294,1.5529400495976404,114013.0,1.198552081,14
88,2020-01-02,0.4460772467236285,0.1623981428029814,0.8795174888866227,105459.0,1.427137182,5
89,2020-01-09,1.9529139927177899,1.197392585663807,2.898562006204787,131500.0,1.354121649,22
90,2020-01-16,0.30714564185434856,0.08172176874527816,0.6768940887375611,103365.0,1.450713807,3
91,2020-01-23,0.5297876455704296,0.193363093421545,1.0371884000981053,106532.0,1.137319262,5
92,2020-01-30,0.3574153384198456,0.07378433947754867,0.8654463568340418,103455.0,1.392819104,2
93,2020-02-06,0.3466515619196799,0.042390548000895034,0.9684387893702089,102539.0,1.133080201,1
94,2020-02-13,0.5271099910916637,0.06308310081312954,1.4735137153229547,103933.0,1.41594121,1
95,2020-02-20,0.390212832339778,0.01017441808688113,1.439474942075716,100002.0,1.119895966,0
96,2020-02-27,0.6000234717628736,0.015333558390466637,2.218009318319227,100002.0,1.379174961,0
97,2020-03-05,1.7105904641613747,0.20036596194734463,4.927135690582139,118628.0,1.251246981,1
98,2020-03-12,0.9666964035380108,0.022835717482798223,3.697656012562654,100002.0,1.400670508,0
99,2020-03-19,2.1587616174116078,0.24284353339929585,6.33051645057836,126925.0,1.307118146,1
100,2020-03-26,2.0143613798989306,0.22799740543844962,5.913216598710043,123679.0,1.610173709,1
101,2020-04-02,1.782616974035837,0.20045367680520618,5.207459470736436,118689.0,1.244019708,1
102,2020-04-09,2.9277819468011197,0.731234345120406,6.812035778117124,153138.0,1.866075433,3
103,2020-04-16,1.0989801239911319,0.12780428915240094,3.197359537713953,109523.0,1.201543605,1
