week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI
1,2018-09-21,NaN,NaN,NaN,0.0,0.0,22
2,2018-09-28,2.8979516901989366,1.8393947804987534,4.207990534475289,127456.0,0.093567557,22
3,2018-10-05,1.851691432927649,1.1823786854694218,2.6924802544956674,116361.0,0.120960794,26
4,2018-10-12,1.888930806206503,1.2816941729782394,2.6350760492059653,117644.0,0.127554971,37
5,2018-10-19,1.6899629524929036,1.183862285829187,2.298409790971254,115836.0,0.321606916,45
6,2018-10-26,0.9700714715870322,0.6553402128594615,1.3570145369630593,110929.0,0.115853685,33
7,2018-11-02,0.8865143359690955,0.5937133254779178,1.2437604355645289,110718.0,0.149899083,31
8,2018-11-09,1.1892703695447138,0.8392783996591726,1.6135423418575476,112625.0,0.142122328,40
9,2018-11-16,0.8610006686373083,0.5713631758620827,1.2104005423120596,110203.0,0.127033238,30
10,2018-11-23,0.9903197315943771,0.6685299056447279,1.3837166950110322,110813.0,0.125879019,33
11,2018-11-30,1.6928634830184672,1.2447538684279298,2.226618084603903,117298.0,0.132839547,56
12,2018-12-07,1.061909586803996,0.7538842204319054,1.435236691254562,113372.0,0.121145938,43
13,2018-12-14,0.5010795779018921,0.3082254194111142,0.742739517740941,110362.0,0.129420812,21
14,2018-12-21,0.9333661828704559,0.6319847844325577,1.296306482595136,111127.0,0.106482416,33
15,2018-12-28,0.6883653838786028,0.4254283015264071,1.0217025755286946,108238.0,0.114684993,22
16,2019-01-04,1.4138990155529485,0.979738613386903,1.9264573619175516,113692.0,0.127938904,40
17,2019-01-11,1.0964924554567634,0.7400109813020521,1.5276431268634172,111146.0,0.120385944,34
18,2019-01-18,1.3482161220299584,0.9528365932973275,1.8145519469627587,114005.0,0.122398636,44
19,2019-01-25,0.8784434022507214,0.589561799201215,1.2322039068536903,111104.0,0.119308956,32
20,2019-02-01,0.7667012663208305,0.4970325472393389,1.0934490527073057,109823.0,0.118616773,27
21,2019-02-08,0.755396856148628,0.47960980175309503,1.0963876604444043,108591.0,0.11751474,24
22,2019-02-15,0.9969821397582298,0.6508789061219379,1.4191131256224974,109773.0,0.119828603,28
23,2019-02-22,1.2154312502644185,0.8207314933945711,1.6979412173978614,111786.0,0.119864129,33
24,2019-03-01,1.2102649358403925,0.8243305473734014,1.6761513742888363,111803.0,0.118542335,35
25,2019-03-08,1.465219321558521,1.0512885257965852,1.9667456278427489,114748.0,0.126877406,46
26,2019-03-15,2.190722915038989,1.6778968347275764,2.77686171284257,122292.0,0.130539887,81
27,2019-03-22,1.2938417478384017,0.9826165903478533,1.6480049520008597,119209.0,0.127082227,69
28,2019-03-29,1.4301126077994093,1.1232031238967988,1.7783579234571498,123426.0,0.1222593,89
29,2019-04-05,1.3730392093694974,1.0943063731442904,1.685508923968376,127007.0,0.128260715,101
30,2019-04-12,1.3382377800514071,1.0907099505949625,1.6229203847282083,131096.0,0.131438791,114
31,2019-04-19,1.1478821423776602,0.9336598261511933,1.3930023792947828,135476.0,0.136709689,112
32,2019-04-26,0.9707384914829582,0.7816497156462915,1.1847016017856973,138781.0,0.134305184,102
33,2019-05-03,1.2632279884615594,1.0409174616835444,1.5040226525061557,138973.0,0.132333085,133
34,2019-05-10,0.8204423476411311,0.6566187747581389,1.0071179587203085,143585.0,0.136463697,94
35,2019-05-17,0.7640443101257794,0.6059444274129132,0.9456074995650167,140950.0,0.132834876,83
36,2019-05-24,0.6547797626568476,0.501210248604043,0.8308583243104795,136215.0,0.129864075,64
37,2019-05-31,1.018111005190977,0.8001584778411481,1.2614435369675459,129426.0,0.128540057,85
38,2019-06-07,1.1137390629016413,0.8863742752358962,1.3836481882751681,128694.0,0.13541605,90
39,2019-06-14,0.879031786926858,0.6831303364200115,1.1059454284299173,129258.0,0.137273134,73
40,2019-06-21,1.2072094148638217,0.9644605508273172,1.482372016854386,128915.0,0.133865637,97
41,2019-06-28,0.9413885419386272,0.7392236730276421,1.1793234399734127,130222.0,0.132407804,80
42,2019-07-05,0.9516525124075932,0.7478266258988046,1.19040336287889,130372.0,0.132461083,80
43,2019-07-12,1.1788876493520084,0.9420733141858877,1.4436589886271716,129293.0,0.134560135,97
44,2019-07-19,0.9693216331522402,0.7664688454874444,1.2031544760648993,131245.0,0.137752234,84
45,2019-07-26,0.8570386659255905,0.6651590220924074,1.079718581985763,130562.0,0.136721437,74
46,2019-08-02,0.8473996094703415,0.6506108059692004,1.0745457689330886,128384.0,0.11897398,69
47,2019-08-09,0.8871629785967367,0.6768819959172268,1.1287944084666328,125955.0,0.131878871,67
48,2019-08-16,0.996757467799883,0.7640340421794836,1.2631285945240018,124335.0,0.134586036,71
49,2019-08-23,0.7901922675933286,0.5855979030675972,1.0247194208537633,123435.0,0.129028538,55
50,2019-08-30,0.5990703855341453,0.4192216916785512,0.8063459007587934,120006.0,0.12694803,38
51,2019-09-06,0.8655391247911631,0.6254879035178891,1.146710731631168,116595.0,0.125109286,46
52,2019-09-13,0.7115168057355733,0.48767668325836544,0.983119434476222,113592.0,0.135338484,34
53,2019-09-20,0.4426256933172543,0.2614751451208564,0.6696628209635043,109452.0,0.107979823,18
