week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence
1,NaN,NaN,NaN,0.0,0.0,1.0
2,5.294384398368154,1.1745181548675647,14.153475412930604,8625.0,1.334531289,2.0
3,0.9314745557260334,0.023322121144556226,3.520210308828969,5130.0,0.128255676,0.0
4,1.0009278766871148,0.027613798277147505,3.647812972053175,5119.0,0.091475195,0.0
5,1.451301477733526,0.03474391436364157,5.262059108921331,3415.0,0.110025596,0.0
6,2.3643617092098843,0.06374671874965966,8.252517017007417,2097.0,0.058099544,0.0
7,3.447556172557532,0.07619138211863875,13.194975899054295,1486.0,0.084091103,0.0
8,7.1918469306323995,0.7349274263228993,20.65712968155644,11184.0,0.250084624,1.0
9,7.793390765101686,2.194093113952536,17.404910607008617,20240.0,0.455236399,4.0
10,3.7410220971042336,1.481191854627707,7.194674936891667,22608.0,0.620544801,6.0
11,4.753323521957585,2.9053364945590214,7.1496936784624925,68090.0,1.959904398,19.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,3.796571866370024,0.4422463735237058,11.362803258313473,4808.0,0.186592359,1.0
3,1.2046500225709664,0.03378469970533891,4.3117959446375,3900.0,0.07425092,0.0
4,1.4201519803970577,0.041234594316940744,4.991323571017756,3541.0,0.072638654,0.0
5,6.132923774420679,1.5359983663634484,13.636338739289155,13932.0,0.547983856,3.0
6,2.9985836129030954,0.8313377800663936,6.584653307139551,12283.0,0.239499118,3.0
7,2.2160892239680807,0.7589643187734616,4.869901355119579,17034.0,0.386767731,4.0
8,3.455167960136141,1.7486873576828696,5.795654510335576,39222.0,0.911970192,11.0
9,2.9894355548909424,1.7338821674868297,4.48031949262359,65669.0,1.630494893,18.0
10,5.3630797598057205,4.120612872609821,6.949305149111646,245754.0,6.586699525,69.0
11,3.8217820342596878,3.1682742935838286,4.530667941888283,441762.0,10.80671847,128.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.9455031415541906,0.0661550487251464,6.59737313835234,2327.0,0.085803368,0.0
3,6.273263822932248,1.8890853290835954,13.773207045519687,13654.0,0.270970051,3.0
4,7.971025401276581,4.267309546346246,13.468652109911005,55005.0,1.131035724,13.0
5,4.564852498531301,2.914501870762816,6.559847589577824,86988.0,1.450932547,26.0
6,8.167928648876149,6.818477437536361,9.77787266990269,654688.0,12.260310044,147.0
7,5.997964191710532,5.41231390437357,6.598310691738635,1.415815e6,29.930842284,411.0
8,14.82033178487103,14.329731973370578,15.329850419688972,4.9286162e7,1109.014301371,4776.0
9,8.507242015181534,8.378106190681136,8.640334760239613,7.4557259e7,1732.815045355,17632.0
10,2.4582765152193824,2.4209108615208805,2.4943238729070685,6.6609444e7,1641.572466384,17831.0
11,3.971801201875502,3.9390054830814742,4.0064766621223535,1.86089695e8,4512.701388917,57481.0
1,NaN,NaN,NaN,0.0,0.0,2.0
2,4.4562975588420475,1.0299907577583445,10.11623818461473,12097.0,0.196495815,3.0
3,1.22943904527371,0.13713100527844524,3.4459531586286567,9608.0,0.164675707,1.0
4,1.594543373758703,0.32325876077379634,3.939708645319241,12477.0,0.200871447,2.0
5,1.040078381936381,0.12783682651741599,3.096668008836031,11646.0,0.212921331,1.0
6,2.6236371078686442,0.8757888276315503,5.479752689746615,17993.0,0.316730798,4.0
7,8.238263622542387,5.322048269364623,11.825044616802634,120430.0,2.475592194,27.0
8,0.4217505005168958,0.10947856427359409,0.9505791337246674,52882.0,1.200952629,3.0
9,2.519892020109643,1.7224966247275497,3.4953332150860863,112374.0,2.747319749,30.0
10,1.9431684771696245,1.3569928338238397,2.6950360598575194,142974.0,4.059686483,33.0
11,4.9057863876848975,4.128321742715697,5.797247343927419,483935.0,11.255930525,142.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,2.0675952496512853,0.053100107102796786,8.006929935665214,2384.0,0.083863445,0.0
3,2.0256768890689014,0.0498640671092779,7.631265324270863,2482.0,0.126939056,0.0
4,2.551519502455998,0.06358409755377878,9.39151162391848,1911.0,0.047507386,0.0
5,3.5488799917609986,0.08439724767852977,13.355235672358303,1451.0,0.043433267,0.0
6,4.113160920059257,0.10286135278385138,15.037248513581762,1187.0,0.04151471,0.0
7,4.570215864236393,0.12437236405742635,16.5713805629259,1086.0,0.042679011,0.0
8,4.833115719979691,0.1062844496858233,18.47337585370871,1026.0,0.044981476,0.0
9,4.935476008259192,0.155419231330986,19.445541593127814,1007.0,0.306655978,0.0
10,4.978137890135019,0.13848221098442698,19.022942706785674,1006.0,0.045096359,0.0
11,5.017500820909981,0.11748302892865267,19.18841123947592,1001.0,0.044486476,0.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.9654906617961174,0.029194618981510632,7.200995662986741,2475.0,0.086550298,0.0
3,1.9884661736903815,0.04774291029762833,7.5393713965738876,2608.0,0.049716262,0.0
4,2.667056298971379,0.054189135729463295,10.534914115394997,1887.0,0.056235511,0.0
5,3.596288939613121,0.09435372602359722,13.761584270850449,1437.0,0.038029392,0.0
6,15.298364338925264,5.85834894985751,30.25388850987165,321500.0,5.364080773,6.0
7,1.553333522715776,0.2998635169713863,3.9174483713737094,12098.0,0.231690882,2.0
8,6.877863865684664,4.4626347835517235,9.903523639711453,98459.0,2.537130565,25.0
9,0.5441037505654523,0.16715666734215365,1.1033892088910138,53310.0,1.273760278,4.0
10,1.94767117104961,1.2149671509780633,2.83309549578157,94175.0,2.394771639,21.0
11,0.806866367097997,0.4184034866599585,1.3469786336663174,83572.0,2.342986384,10.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,3.893219244018266,0.46916691658688026,10.931105376883282,4945.0,0.182897346,1.0
3,2.5017474213370656,0.2759340020467008,6.920058698386981,6139.0,0.095509502,1.0
4,1.012898671222882,0.030913190099262564,3.467248729222237,4980.0,0.087846229,0.0
5,4.152635423049348,1.0064907798456222,9.63056926691391,12088.0,0.484778184,3.0
6,5.634904503781361,2.752145435772045,10.056296699000626,33774.0,0.604295524,9.0
7,4.339812586473275,2.5243846884183996,6.412989821976079,64561.0,1.526245873,19.0
8,4.8851677718402176,3.653757623206812,6.2566407296773985,175115.0,3.709264003,55.0
9,5.099187964377122,4.294050621475612,5.9711596126501805,493048.0,11.320480081,155.0
10,0.2857935590807769,0.1717047257700088,0.42945730175889685,353963.0,8.722118152,18.0
11,6.000564437378266,5.4863690438412815,6.575939875322769,2.081413e6,48.464180278,565.0
1,NaN,NaN,NaN,0.0,0.0,2.0
2,5.488506076444134,1.5944378268729589,11.475713288667896,16390.0,0.241764267,4.0
3,3.62090183155623,1.5182007601604344,6.563330103627528,25934.0,0.358526436,7.0
4,0.254467008375054,0.006650917630592732,1.0050348180678006,19580.0,0.319641216,0.0
5,3.813614377520519,2.2036414401755753,5.913770694279642,52657.0,0.917894658,15.0
6,2.4735183831279484,1.449395119000227,3.6901572407594205,69146.0,1.561404681,17.0
7,1.9648762726759659,1.2140232759372729,2.8419763400485354,94024.0,1.834421655,22.0
8,0.2682240839044517,0.07528013693235379,0.6034383976500696,81777.0,1.854297386,3.0
9,1.7564563493302,1.172803663707157,2.44648376035863,108140.0,2.593700473,24.0
