week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,trueWeeklyI
1,2018-05-03,NaN,NaN,NaN,0.0,0.0,2,3
2,2018-05-10,0.9207175846347387,0.025743259708624948,3.5098353971571528,5178.0,1.07098493,0,0
3,2018-05-17,3.062237091380238,0.7314837776083486,7.012024150759156,12764.0,0.610164389,2,3
4,2018-05-24,0.5991348595494643,0.011746662912714565,2.232956609506482,8406.0,0.614534069,0,0
5,2018-05-31,0.6918688192337035,0.02065766184491845,2.7476456137162333,6901.0,0.565921022,0,0
6,2018-06-07,3.8197966361840803,1.085879665183108,8.348357125440275,12002.0,0.492164039,2,3
7,2018-06-14,0.7234028602140938,0.022750447656501385,2.573547372301013,7091.0,0.367834098,0,0
8,2018-06-21,1.5090620616061718,0.16838413916126688,4.312637437101571,8281.0,0.440393657,1,1
9,2018-06-28,7.5347900826485805,3.6919764022304937,12.786440683003546,45082.0,1.27693891,3,11
10,2018-07-05,1.445010705550645,0.5264119488945149,2.8332190942729847,27865.0,0.956193148,1,5
11,2018-07-12,2.027658882258392,1.02256486264549,3.3391872802151203,48638.0,1.527118268,4,11
12,2018-07-19,1.3003744187768702,0.6076492782512557,2.2463351027357006,50530.0,1.889105432,4,9
13,2018-07-26,3.990881363207559,2.947799030782099,5.369403373592428,137688.0,4.089179216,14,40
14,2018-08-02,2.7781894391224826,2.086598904515198,3.5840510460929504,200002.0,5.140327786,23,55
15,2018-08-09,2.7434243901493836,2.2205226992566947,3.326003749492386,374888.0,9.87684419,37,99
16,2018-08-16,0.47924218455027695,0.31697564878191903,0.6693818800174297,303922.0,7.665291695,10,26
17,2018-08-23,0.5387166936260437,0.3500560980324447,0.7559665953820464,302828.0,8.162352208,15,29
18,2018-08-30,0.4736536969736097,0.29319849285987815,0.6907624029265858,248620.0,6.290146638,9,20
19,2018-09-06,0.6897319310384685,0.4475682365793887,1.0066864113920502,199019.0,5.500934964,10,22
20,2018-09-13,1.558313642541535,1.1250173451914993,2.0552439480533153,216147.0,5.390440033,12,43
21,2018-09-20,2.079963774592698,1.6114666046080357,2.5838178861488434,264737.0,7.3346989,24,67
22,2018-09-27,1.2884953395267353,0.9777716875279217,1.6440340745602697,307649.0,7.771474711,20,56
23,2018-10-04,1.2823780960199995,0.9864240967282087,1.5945525058079233,352086.0,9.142912016,27,66
24,2018-10-11,1.3292981532196195,1.054695025823624,1.652197015262896,429203.0,10.779859461,34,78
25,2018-10-18,1.5538235022600069,1.2655728538802495,1.8558008824363341,516758.0,12.914538546,44,106
26,2018-10-25,1.4128579176919118,1.1605578439836974,1.6744657992213243,625665.0,15.564519412,37,115
27,2018-11-01,0.8102647384752695,0.6302504565475009,1.0045177824193336,567688.0,14.252872609,30,76
28,2018-11-08,1.1210830145822077,0.9249190070945602,1.3416590451086043,641966.0,16.036068942,36,106
29,2018-11-15,0.9097051725288061,0.7351903816632045,1.1026099135124114,592230.0,15.008569902,35,86
30,2018-11-22,0.7337809471744695,0.5814309604574913,0.90412629733935,547917.0,13.580904048,31,67
31,2018-11-29,1.3851284977714504,1.162512345359764,1.660550194158905,621000.0,15.516358874,56,119
32,2018-12-06,1.2910136090743585,1.0828443985618312,1.539407783350748,649372.0,16.173847645,44,120
33,2018-12-13,0.7076056135345252,0.5471620017257979,0.8808419815498296,632193.0,15.688698242,22,71
34,2018-12-20,0.7497077239783935,0.5963463816183512,0.9319994948625406,571057.0,14.257469289,30,71
35,2018-12-27,0.8475501241549193,0.6671283005321639,1.0612674281447845,513447.0,12.776244859,28,71
36,2019-01-03,1.2142641250251929,0.9846082288616858,1.4653620743269375,510881.0,12.700936622,37,95
37,2019-01-10,1.2149495638112342,0.9961365645944339,1.452536509531842,525064.0,13.033459243,36,99
38,2019-01-17,1.0017182820022006,0.8020216119131163,1.2229526712872971,575089.0,14.259061775,34,88
39,2019-01-24,1.2669480595763276,1.054311574199833,1.520211181408331,617499.0,15.450444361,41,116
40,2019-01-31,0.7722295104309748,0.6128074840262077,0.9417523295794453,625108.0,15.441019285,25,74
41,2019-02-07,0.8309273930901271,0.655620481216551,1.0248616743059773,579710.0,14.376931543,24,76
42,2019-02-14,0.8364225690195154,0.6509448495490885,1.049390355532885,534950.0,13.259021408,31,70
43,2019-02-21,0.803652400954806,0.6182280839071276,1.0095225043046734,464286.0,11.672656683,29,62
44,2019-02-28,1.300736795544811,1.0460559602269177,1.5703250954343357,539385.0,13.373657919,34,94
45,2019-03-07,1.450302628096891,1.1957292658377647,1.754595580344573,569020.0,14.047891485,44,113
46,2019-03-14,2.0652755335058792,1.7815933579831136,2.3741594396954273,803491.0,19.937792742,78,196
47,2019-03-21,1.3295993570283406,1.1473504687272027,1.5459321965603525,916768.0,22.046684128,68,171
48,2019-03-28,1.0909927475190009,0.9313082234469345,1.2750833422112677,1.053155e6,26.013903871,85,167
49,2019-04-04,1.723240381535136,1.5440878510422698,1.9140182956076959,1.32868e6,31.524444459,107,295
50,2019-04-11,1.0956516289981253,0.9580989538370313,1.2397043708438389,1.35499e6,33.504668324,99,226
51,2019-04-18,1.163871204392306,1.0251524585239578,1.3140372160213767,1.605145e6,38.128415273,125,267
52,2019-04-25,1.0658940118885405,0.9339477566631984,1.2080607066267521,1.531663e6,37.695064319,101,259
53,2019-05-02,1.4142317180352555,1.2693039853015164,1.555805847064333,1.768648e6,41.825495847,136,366
54,2019-05-09,0.7617709149762116,0.6595893776798716,0.8722234288093975,1.782821e6,43.83104174,94,217
55,2019-05-16,0.737432619377006,0.640565787097919,0.8425645852219688,1.654717e6,39.175850431,87,203
56,2019-05-23,0.7028385558899596,0.6011146061579165,0.8066127813694586,1.400907e6,34.462607917,63,171
57,2019-05-30,0.8935024498002171,0.7599983139593625,1.0228258402403618,1.401704e6,33.300427154,77,191
58,2019-06-06,1.1329870486521534,0.9881146943124053,1.2695505578309667,1.368218e6,33.669178538,92,226
59,2019-06-13,1.01408853783926,0.8837943394988281,1.1553300076759374,1.276646e6,30.449608417,74,205
60,2019-06-20,1.2697033697959517,1.1328084283011248,1.414152819026462,1.486932e6,36.462770758,95,266
61,2019-06-27,0.8919063497118147,0.7669616890930077,1.0175636881788468,1.365048e6,32.353415887,85,199
62,2019-07-04,0.985724330806184,0.8650700723454714,1.1162883633864795,1.500455e6,36.763437182,79,221
63,2019-07-11,0.9799786150996467,0.8565928256119696,1.1165029116825615,1.441424e6,33.730825561,94,216
64,2019-07-18,1.006407174090012,0.8759410881506352,1.1402352961925935,1.436741e6,34.983567628,90,219
65,2019-07-25,0.7082820062665816,0.6020942909756843,0.8250501297214466,1.329512e6,31.109052914,69,151
66,2019-08-01,0.744813726860783,0.6296187756902414,0.8727925313673957,1.158062e6,28.229663934,73,144
67,2019-08-08,1.0410703507936703,0.8991702461707294,1.1959385441575507,1.108334e6,26.107912463,66,180
68,2019-08-15,1.151855619937458,0.9923963849098885,1.3118900213344318,1.133508e6,27.577074571,70,195
69,2019-08-22,0.760953011761147,0.636649675182954,0.8900187320082641,1.058151e6,25.013504731,63,132
70,2019-08-29,0.6806063640841911,0.5503127672014491,0.8173350093689659,930534.0,22.65903405,37,110
71,2019-09-05,0.917802595203878,0.7757863811773131,1.0904428815530434,896220.0,21.316007032,45,130
72,2019-09-12,0.6516583519050881,0.5180107227825381,0.804169469913339,750982.0,18.186493167,34,84
73,2019-09-19,0.3486435164279551,0.2490435479071521,0.47438556026994383,569001.0,13.915153515,19,38
74,2019-09-26,0.5485118926019262,0.4151476112329521,0.716064929010801,503858.0,12.405418701,19,45
75,2019-10-03,0.576397529403428,0.3974446275714599,0.7836073916137754,354414.0,9.019376064,13,35
1,2018-05-03,NaN,NaN,NaN,0.0,0.0,2,9
2,2018-05-10,0.36462943130882514,0.010250996384218204,1.3626270996245147,13881.0,0.244440494,0,0
3,2018-05-17,1.2791176157468855,0.3615826258447033,2.8936368992106254,19715.0,0.431388291,2,3
4,2018-05-24,0.3456463433155572,0.007049278210243132,1.3137116623576177,13538.0,0.379871264,0,0
5,2018-05-31,0.5524324937698688,0.015396037316456754,1.9833136064799437,9880.0,0.295672729,0,0
6,2018-06-07,2.388381565688235,0.47448129428225133,5.801424641274237,9783.0,0.420007502,2,2
7,2018-06-14,0.8224129489583099,0.022027446903729084,3.139018939741632,6041.0,0.263023802,0,0
8,2018-06-21,3.5406144474256696,1.0415624914959591,7.895643674724657,12070.0,0.644247674,1,3
9,2018-06-28,2.4381604368233356,0.6507212371012595,4.996607561827707,13111.0,0.659071871,3,3
10,2018-07-05,2.1055263773329957,0.6622909083528606,4.269463538609014,19658.0,0.675254322,1,4
11,2018-07-12,6.016022859342658,3.8814418758957414,8.651710335493755,89080.0,2.688238695,4,23
12,2018-07-19,1.2711045761797442,0.6762306965924316,2.1453458290046044,61033.0,1.563057039,4,11
13,2018-07-26,3.0906286934473663,2.1958815439049295,4.146866586768636,146899.0,4.384023324,14,42
14,2018-08-02,3.277258988335676,2.5969598678075907,4.044383226311878,277193.0,6.937645468,23,79
15,2018-08-09,1.9286645437129952,1.555092315636735,2.3708200341382835,371468.0,9.612437595,37,85
16,2018-08-16,0.26224242000536485,0.15569020249431956,0.39676123135547486,323900.0,8.142708126,10,15
17,2018-08-23,0.8395877110114923,0.6090335667367378,1.1085802929970234,319920.0,8.348007123,15,44
18,2018-08-30,0.6586138657757584,0.4559760437794345,0.9175228380439399,264300.0,6.636559756,9,29
19,2018-09-06,0.7221857408434309,0.46761663953954763,1.0130273503465879,237158.0,6.439813054,10,27
20,2018-09-13,0.6429223712618066,0.3858241562290152,0.9341798680027599,208481.0,5.235526733,12,20
21,2018-09-20,1.9614819553803882,1.477467836650359,2.4761894006820957,241878.0,6.602084755,24,57
22,2018-09-27,1.7236952324267718,1.3058714008782564,2.2179348769715963,291078.0,7.245627224,20,62
23,2018-10-04,1.3839188170810746,1.0726323050759148,1.7622869537109154,334980.0,8.733577598,27,65
24,2018-10-11,1.6002916974403698,1.275893707789027,1.929961582535685,422789.0,10.592225495,34,91
25,2018-10-18,1.546028232712258,1.2600737456753492,1.855680413493917,531096.0,13.348885614,44,109
26,2018-10-25,0.8501476974767302,0.6528997684124995,1.0550337977020268,531956.0,13.212756477,37,71
27,2018-11-01,0.8202168773083444,0.6328162182739586,1.026234176758234,532740.0,13.169772751,30,69
28,2018-11-08,1.1584545340565202,0.932278663434775,1.3931005716391862,525157.0,13.054199255,36,92
29,2018-11-15,1.131226416127745,0.887706667142111,1.3821698352876552,574981.0,14.260744808,35,92
30,2018-11-22,0.9158674901989274,0.7353575763819448,1.117723860903527,534197.0,13.184976864,31,77
31,2018-11-29,1.6849623420823363,1.4153144502449246,1.972416369040683,675167.0,16.557563331,56,148
32,2018-12-06,1.181092230008279,0.9864631122844474,1.3876976073707594,675435.0,16.615528238,44,122
33,2018-12-13,0.6761785277747926,0.5296556063624119,0.8321552575629573,645062.0,15.842369312,22,76
34,2018-12-20,0.7964821419187333,0.6394658795423317,0.978454710403228,605916.0,14.919214019,30,83
35,2018-12-27,0.7964892944808483,0.6316500912597955,0.996015079306759,601121.0,14.95237448,28,74
36,2019-01-03,1.0292446486850626,0.8271256947818579,1.2607202714050603,580345.0,14.414406922,37,87
37,2019-01-10,1.1107392540353225,0.8861203247437553,1.3912867183194813,518128.0,12.938707837,36,92
38,2019-01-17,0.8872760687199794,0.7117899402290963,1.1188403581639619,521115.0,12.897508784,34,75
39,2019-01-24,1.2930078217700678,1.0725241167227022,1.5413570217410992,581328.0,14.393391903,41,110
40,2019-01-31,0.6848151554781834,0.5163875490190906,0.8685354787895497,553353.0,13.63762509,25,60
41,2019-02-07,0.8972366915400066,0.7178621031314815,1.0999364818799655,501828.0,12.60677895,24,74
42,2019-02-14,0.9653017499553717,0.7661792460076258,1.206389838573021,506647.0,12.521121371,31,74
43,2019-02-21,0.9408870910739423,0.730752528424452,1.172582250653062,474818.0,11.8726978,29,70
44,2019-02-28,1.5838684819194029,1.3160522207115348,1.8945771683603172,551624.0,13.646323963,34,119
45,2019-03-07,1.3370329837634465,1.0935254721245231,1.6034261506521486,631622.0,15.608266094,44,117
46,2019-03-14,1.9615036902191079,1.6969308773459646,2.2264099489776683,886754.0,21.787243895,78,208
47,2019-03-21,1.458212982745255,1.267633267840638,1.68069659079865,1.09762e6,26.294398087,68,205
48,2019-03-28,1.1906407085389277,1.0283785223259583,1.3587184873817046,1.152086e6,28.478408745,85,205
49,2019-04-04,1.4625055316234852,1.294517982377381,1.63976572145092,1.420355e6,33.749604232,107,285
50,2019-04-11,1.1238662209391246,0.9873749599199995,1.2582079144298401,1.494172e6,37.002262621,99,253
51,2019-04-18,1.085417822574606,0.9625622887929322,1.2207964939973859,1.566365e6,37.042269849,125,265
52,2019-04-25,1.0282989789747161,0.9163891203163077,1.1430669367245523,1.670736e6,41.020064284,101,262
53,2019-05-02,1.3854482133788588,1.2522083420236287,1.5295374592376418,1.836174e6,43.343397325,136,368
54,2019-05-09,0.781177818959962,0.675726442194847,0.8816020635443752,1.79515e6,44.253723941,94,226
55,2019-05-16,0.7025551959475652,0.6120667841241455,0.8031501711418836,1.684992e6,39.858936884,87,196
56,2019-05-23,0.746377364893075,0.6501118007470226,0.8521286860742195,1.587367e6,39.223184755,63,184
57,2019-05-30,0.8552207942202411,0.7380569525412498,0.9823792908219083,1.35061e6,32.170614156,77,185
58,2019-06-06,1.2193853396836212,1.0804635500581148,1.3702397294079618,1.348901e6,33.182550516,92,248
59,2019-06-13,0.8051388249748783,0.6859592873160942,0.9233627232477142,1.303994e6,31.04816567,74,166
60,2019-06-20,1.2175040645185722,1.0679324434136033,1.3842516478780726,1.344841e6,33.208175982,95,247
61,2019-06-27,0.9871022901758899,0.8562172044843099,1.1260438117137863,1.400738e6,33.412423228,85,208
62,2019-07-04,1.0253007559984149,0.8921079595644428,1.1687191626729538,1.40902e6,34.789020846,79,219
63,2019-07-11,1.1809872077522519,1.0533800634299977,1.3206934020773962,1.46279e6,34.818010679,94,257
64,2019-07-18,1.0227980707794182,0.8926748848080195,1.159230838267834,1.527183e6,37.670742018,90,234
65,2019-07-25,0.7522608788804033,0.6430792384099575,0.8615094143170081,1.4751e6,35.081706607,69,174
