week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR
1,NaN,NaN,NaN,0.0,0.0,1.0,8.66503087629739
2,3.0598050788001143,0.4035482797251219,8.646671743226717,4661.0,1.049136534,1.0,7.316251164735972
3,10.616922164694934,6.098574250699709,17.20267416969789,324613.0,3.951778889,15.0,8.769448651171299
4,1.146808012882707,0.3965069565767956,2.1815030483491173,22145.0,0.308655175,5.0,1.3151916925663405
5,3.310235701453047,2.189511230922079,4.675962402694787,85111.0,1.2915533,26.0,2.9563087174812996
6,8.355108428748578,7.0460258734204935,9.836603974098526,1.327099e6,20.835397318,157.0,8.128376556555605
7,0.7639491782083742,0.5576548245085446,1.0038446507084668,227740.0,4.056506623,42.0,0.47612616639153726
8,9.665867840129874,9.085457029784369,10.303030355752824,1.3053354e7,240.305930608,1099.0,8.465663206439567
9,1.5706573638766217,1.451117838211722,1.703678068407757,1.944932e6,37.283135706,595.0,1.5286846588804155
10,3.271081761667593,3.1301269677504346,3.4209922434520594,6.829892e6,136.673945071,2123.0,3.3578117446814346
11,1.5066975744991105,1.4368885402197793,1.578645935344855,5.700249e6,112.890684789,1674.0,1.4771924355121295
1,NaN,NaN,NaN,0.0,0.0,2.0,8.66503087629739
2,5.341970937518215,1.7943922515943191,11.10519657275387,24905.0,0.325578807,5.0,7.316251164735972
3,7.385529611310698,4.719901020430047,10.854149349510072,159602.0,2.028154211,23.0,8.769448651171299
4,1.911470436690586,1.075135001684186,2.8330461736769674,56848.0,0.813683521,17.0,1.3151916925663405
5,3.895914196510057,3.0059308397417066,4.896975897415258,209290.0,3.330691388,64.0,2.9563087174812996
6,8.720707539763858,7.793443448809673,9.682307401847384,3.544772e6,55.834554975,386.0,8.128376556555605
7,0.4567999143770381,0.34689901618579283,0.5892065455824004,472948.0,8.357527028,61.0,0.47612616639153726
8,8.650244497934386,8.273748985451451,9.031546924059402,1.9685916e7,360.494358194,2148.0,8.465663206439567
9,1.5629009982924693,1.4734069224363868,1.6587281051850735,3.98295e6,74.94371646,1183.0,1.5286846588804155
10,3.3123768872753367,3.2099516618548485,3.417729318038435,1.3872161e7,276.604695976,4248.0,3.3578117446814346
11,1.4632778313350043,1.4154780477911406,1.5156858015226176,1.1938028e7,236.902270026,3225.0,1.4771924355121295
1,NaN,NaN,NaN,0.0,0.0,1.0,8.66503087629739
2,8.861187151711578,3.514937774915912,17.36929308723616,125080.0,1.473406434,7.0,7.316251164735972
3,13.541095589529785,9.987191428125225,17.608670376618388,2.430462e6,31.706956104,61.0,8.769448651171299
4,1.702943324456397,1.2208227633528739,2.287630834538057,116643.0,1.605459047,34.0,1.3151916925663405
5,2.4999268867401305,2.0346715609805957,3.0761273146721493,273898.0,4.307139678,88.0,2.9563087174812996
6,7.842722612303899,7.143477935711421,8.576580846854647,4.137323e6,64.993290585,578.0,8.128376556555605
7,0.5227823936451825,0.42249018453754156,0.6301099333679252,750210.0,13.3523643,107.0,0.47612616639153726
8,8.542085885084239,8.216530986396185,8.875830702703116,2.8290375e7,518.091128405,3208.0,8.465663206439567
9,1.5734996409219224,1.5049067780632366,1.6419498077739731,6.153864e6,115.851617714,1788.0,1.5286846588804155
10,3.266483420273383,3.1895563732923953,3.34641787413743,2.0376719e7,409.420886161,6278.0,3.3578117446814346
11,1.4608058029093167,1.420474292587957,1.501967454755028,1.802504e7,358.168241078,4791.0,1.4771924355121295
1,NaN,NaN,NaN,0.0,0.0,2.0,8.66503087629739
2,9.289750948915493,4.841773218089963,15.515976186136484,187895.0,2.509788034,12.0,7.316251164735972
3,11.426065923915148,8.824194240515125,14.63109083574011,1.462959e6,19.033052639,78.0,8.769448651171299
4,1.1863170411976647,0.8175895193597491,1.6248331603534012,119778.0,1.67928921,31.0,1.3151916925663405
