week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI
1,2018-05-03,NaN,NaN,NaN,0.0,0.0,2
2,2018-05-10,0.6134151825733138,0.014776138447584934,2.3093063898585364,7824.0,0.833188664,0
3,2018-05-17,2.9580880010003168,1.0959464617694028,5.778996406622994,19219.0,0.729643102,2
4,2018-05-24,0.36767096371625163,0.008152714169324527,1.3530784588756424,12225.0,0.16021812,0
5,2018-05-31,0.4802844044401472,0.012694172166640328,1.7143448476209509,11158.0,0.206002666,0
6,2018-06-07,3.7463645999252293,1.3659055688039323,7.600522628456097,20458.0,0.743089192,2
7,2018-06-14,0.48282744423304774,0.009723288875932448,1.7446971286116475,11214.0,0.166493037,0
8,2018-06-21,1.443091514742286,0.3009492396670806,3.578550081519035,13334.0,0.669625293,1
9,2018-06-28,3.989280482315294,1.891069170445776,7.135314866375774,28918.0,0.840421203,3
10,2018-07-05,0.8304250167864462,0.1669050098358468,1.9498571443173462,21873.0,0.569455931,1
11,2018-07-12,2.5201392229453243,1.2755608014546584,4.31354244413211,39631.0,1.203911972,4
12,2018-07-19,1.8221557202921859,0.9022000216614487,3.0370963053683813,45206.0,1.312840889,4
13,2018-07-26,3.9405833356418016,2.7542292401828825,5.376469808334405,119155.0,3.074844656,14
14,2018-08-02,3.188974799632168,2.3765426381857275,4.0652858699656855,193824.0,5.541209376,23
15,2018-08-09,2.6364275775638886,2.1240235074525433,3.1641014678526855,311516.0,11.500912857,37
16,2018-08-16,0.47992613497754066,0.3131953932980912,0.6946947117729446,290139.0,10.605009198,10
17,2018-08-23,0.7337658032194526,0.5100442506281895,0.9832391263288196,324818.0,11.322506175,15
18,2018-08-30,0.5063028983877451,0.3179805505800366,0.7333828770384482,258155.0,8.987803835,9
19,2018-09-06,0.7167677833368015,0.47060334469496307,1.0264629853508795,216160.0,8.073720088,10
20,2018-09-13,1.0193667150752515,0.6913352782636876,1.4070092592186323,208068.0,8.252500717,12
21,2018-09-20,1.9974165362170533,1.5570019877439893,2.5288700910751616,240882.0,9.361919228,24
22,2018-09-27,1.3146984631902587,0.9687048453740168,1.7009131476514507,278216.0,10.860151734,20
23,2018-10-04,1.4766019195350386,1.1383190688513594,1.8354181090548398,330769.0,11.550543507,27
24,2018-10-11,1.5448277078039272,1.236490978830644,1.8963955305002353,422902.0,13.670830038,34
25,2018-10-18,1.610667180140433,1.3269285389654946,1.9430516362633676,506184.0,17.452200309,44
26,2018-10-25,1.1054285914032462,0.8964249093503726,1.3403926211006136,580793.0,21.260542447,37
27,2018-11-01,0.8346889766520161,0.6604426289971553,1.0295369522616655,587353.0,23.593153733,30
28,2018-11-08,1.0318127854881056,0.8418789389947996,1.2521907551400058,582992.0,21.518839058,36
29,2018-11-15,1.0193501404544618,0.8293678755407967,1.223832088077106,573077.0,18.341593915,35
30,2018-11-22,0.9075957071666084,0.724060235716454,1.125462595105649,544243.0,20.365916972,31
31,2018-11-29,1.607915476076085,1.3500731543698543,1.890885538722678,621674.0,21.397884869,56
32,2018-12-06,1.0942187246688615,0.9019634271413777,1.2929572627284196,671380.0,25.586909834,44
33,2018-12-13,0.5235225968413898,0.40092968152776687,0.6754969067958936,626193.0,21.835777606,22
34,2018-12-20,0.8087797084992399,0.6429614878353132,1.0014228008128156,589041.0,21.00317759,30
35,2018-12-27,0.8697086205378872,0.6796766769688166,1.0848352913557875,503089.0,17.933252476,28
36,2019-01-03,1.207139705835506,0.9713240827862194,1.4647732770533006,518018.0,18.882244483,37
37,2019-01-10,1.1428581490138026,0.926330369579855,1.3822951761085465,542965.0,20.586712362,36
38,2019-01-17,1.0207858319781944,0.8158526479577759,1.2343445786592795,539555.0,18.175869766,34
39,2019-01-24,1.1874929875156228,0.9751832455632878,1.4207539131229994,587258.0,20.523929669,41
40,2019-01-31,0.7016719264343134,0.5372890255329947,0.8857461794792525,534626.0,18.388055989,25
41,2019-02-07,0.7367672619875633,0.5642911008986312,0.930709198773713,485244.0,16.938207935,24
42,2019-02-14,1.0639201256460036,0.8502150884163143,1.3008467128602392,506370.0,17.709107914,31
43,2019-02-21,1.0113355329637221,0.8000837635870407,1.2757343864423543,444071.0,15.038831432,29
44,2019-02-28,1.1745380587882492,0.9459107329633745,1.4303791007962012,499424.0,17.055693009,34
45,2019-03-07,1.4252004505538405,1.165822949414355,1.7011709380297755,550066.0,19.096129726,44
46,2019-03-14,2.0943210071497305,1.8114054887984785,2.403576138663585,793609.0,27.386415829,78
47,2019-03-21,1.3484130309020494,1.1668428305040202,1.580415450740576,924223.0,33.812754984,68
48,2019-03-28,1.3761783266625651,1.1908665213086542,1.572994127402419,1.133911e6,39.096192129,85
49,2019-04-04,1.4832442649758173,1.3092622957749396,1.6717369532396433,1.336416e6,46.2862447,107
50,2019-04-11,1.1604385827913135,1.0259814253561448,1.3015474827295697,1.496395e6,52.249678297,99
51,2019-04-18,1.3102905052863605,1.168172483294444,1.467139784978331,1.594353e6,55.751317975,125
52,2019-04-25,0.9601738879774442,0.8460285127388993,1.0763988918623013,1.663242e6,57.294728423,101
53,2019-05-02,1.2464947306798093,1.1266169919504196,1.3830560709498225,1.941291e6,57.421862107,136
54,2019-05-09,0.8196541119492232,0.7201912501269131,0.9277318293387792,1.766756e6,50.309126163,94
55,2019-05-16,0.786901844501866,0.680916400060648,0.8980438054514371,1.645183e6,46.844726022,87
56,2019-05-23,0.6301232560655644,0.540030206406531,0.733891456587522,1.490894e6,42.386254647,63
57,2019-05-30,0.8872641767770714,0.7597488860773267,1.0012787949327508,1.456923e6,41.376635311,77
58,2019-06-06,1.1527415361190945,1.0126516540688744,1.3045905607347092,1.337154e6,40.575390308,92
59,2019-06-13,0.9133377697352935,0.7838002453973625,1.0420479056996097,1.261466e6,45.693415827,74
60,2019-06-20,1.1732761341829376,1.0339419675578811,1.3263310220835636,1.320172e6,46.358882424,95
61,2019-06-27,1.0085069814414607,0.8767692454366905,1.1437980858917765,1.375412e6,48.03913334,85
62,2019-07-04,0.9249711402950219,0.8021563401430568,1.051795635550168,1.361754e6,47.179302859,79
63,2019-07-11,1.115179438911509,0.9717242435394692,1.253600729833453,1.491575e6,58.740371182,94
64,2019-07-18,1.0411888958597453,0.9092192685660204,1.1877290249102033,1.385886e6,49.361372044,90
65,2019-07-25,0.790564579185844,0.68464388458981,0.9093107200833653,1.304276e6,44.207475026,69
66,2019-08-01,0.885585066519604,0.7641584499658155,1.0160021352402882,1.349842e6,45.835620742,73
67,2019-08-08,0.8650512132830434,0.7402678938862153,0.9995575152186853,1.24289e6,41.099309793,66
68,2019-08-15,0.9725766485010897,0.8387880688437711,1.1203268243945144,1.21115e6,59.797631868,70
69,2019-08-22,0.9030548053566735,0.7710017082763251,1.0558189377111027,1.098573e6,50.959146184,63
70,2019-08-29,0.5642001904043774,0.4540738569924458,0.6837922990592861,936744.0,44.266948591,37
71,2019-09-05,0.7981195493958329,0.652052888864382,0.9431866543545327,884068.0,41.295972329,45
72,2019-09-12,0.7011229161925805,0.5578670908696306,0.8525946804993375,723381.0,26.451516082,34
73,2019-09-19,0.4689130193245359,0.34440227852858957,0.6027513596265316,595274.0,17.231607175,19
74,2019-09-26,0.595811176524137,0.4328291203730182,0.7711582217233658,488666.0,13.860314499,19
75,2019-10-03,0.5160805294057444,0.3663228033913924,0.7008227884326887,358600.0,10.076919501,13
76,2019-10-10,0.962422997303397,0.7063845926124952,1.2362102699103656,322510.0,9.385637061,19
77,2019-10-17,1.0601156767165922,0.7927681357195392,1.376800453626116,300267.0,8.594569535,19
78,2019-10-24,0.7964667937091271,0.5551696036377964,1.0826133919967666,277550.0,7.747490954,14
79,2019-10-31,0.6214713915613587,0.4141183460976774,0.8794726568652387,232502.0,6.942694153,10
80,2019-11-07,0.5986307467414289,0.38500497024006586,0.8868790614813915,207371.0,5.834763178,8
81,2019-11-14,1.3138087738156219,0.9287219884172552,1.7585838553732343,201062.0,5.886242781,15
82,2019-11-21,0.7837538428437938,0.4993880890866376,1.1362777909155808,184185.0,5.026031809,9
83,2019-11-28,1.0895081227244328,0.733448104138148,1.52475322470424,188221.0,5.267934943,12
84,2019-12-05,2.4709057447908855,1.9752915441206693,3.0287097596558747,306055.0,8.860101849,30
85,2019-12-12,0.8511143270052248,0.6050655112933414,1.1370619731838663,267823.0,8.817269647,14
86,2019-12-19,0.48013148620462576,0.3016508225144505,0.718456015701992,254085.0,8.708972164,8
87,2019-12-26,0.9528123231601578,0.6827234145199094,1.2713266791684972,236160.0,6.820772009,14
88,2020-01-02,0.3968020664100012,0.21109891799662137,0.6282715788684057,179148.0,5.050960555,5
89,2020-01-09,1.9857122334396535,1.4702268375787482,2.535104513774856,236068.0,7.140968254,22
90,2020-01-16,0.2853585258619581,0.125218615669346,0.48603759445137157,154342.0,4.342808925,3
