week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI
1,2018-05-03,NaN,NaN,NaN,0.0,0.0,2
2,2018-05-10,1.25956667145492,0.0301808822999704,5.003510345885076,100002.0,0.984901502,0
3,2018-05-17,3.1280517999908417,0.5615048184392714,8.389167334843933,126510.0,1.898701824,2
4,2018-05-24,0.8497173163740416,0.01934320576295701,3.2923981150218307,100004.0,2.271585813,0
5,2018-05-31,0.9839141864560346,0.024254144258796236,3.7821137125906175,100003.0,2.364346928,0
6,2018-06-07,3.4067839361601258,0.6410937945056846,8.867551703448642,130674.0,2.614624687,2
7,2018-06-14,0.9500643675802899,0.02425618121258405,3.6825564106525643,100002.0,2.412273031,0
8,2018-06-21,1.9711478360584602,0.2231193714351576,5.767018203619631,111040.0,2.981908137,1
9,2018-06-28,3.491732090948032,0.8596073994527045,8.322567399070778,133458.0,3.261954266,3
10,2018-07-05,1.2214406782574998,0.13413751387940664,3.6058880191484506,105883.0,3.076265608,1
11,2018-07-12,2.6027082115183924,0.7837427948548903,5.696486277031879,122230.0,3.43548029,4
12,2018-07-19,1.932538802061918,0.5906002386433005,4.162242074436688,115213.0,3.931249636,4
13,2018-07-26,3.8944282308980314,2.000954196475706,6.513986453566593,141187.0,4.044782008,14
14,2018-08-02,3.176751293037785,1.9205392667034342,4.817342870973405,132357.0,3.794133825,23
15,2018-08-09,2.688369128844049,1.821231654845096,3.7427522096336636,127726.0,3.775046785,37
16,2018-08-16,0.508824803580456,0.24910189106397773,0.8598086892705313,109587.0,3.559648142,10
17,2018-08-23,0.7433074296903699,0.4229285571043502,1.166607612758486,112367.0,3.461078088,15
18,2018-08-30,0.5469829957468472,0.26134486949323266,0.9394800869983999,108948.0,3.36092379,9
19,2018-09-06,0.7440499906145167,0.3647487187697349,1.2635531437095406,109113.0,3.642182776,10
20,2018-09-13,1.0395553716422208,0.5399452176554564,1.6930198329610675,110442.0,3.64324949,12
21,2018-09-20,1.9910394198511996,1.2614599758674772,2.9180049235290757,119958.0,3.330374771,24
22,2018-09-27,1.3262063754746447,0.8001932033678917,1.9963645833879877,114454.0,2.93244057,20
23,2018-10-04,1.483570610107729,0.9587903284267036,2.1257593255965355,117139.0,2.909837969,27
24,2018-10-11,1.5578310266924138,1.0610155776888934,2.166945958760247,119497.0,2.976187112,34
25,2018-10-18,1.6315051688148763,1.1647764249445498,2.188941402396602,122327.0,3.205398592,44
26,2018-10-25,1.125243261592252,0.781226527146412,1.5338536179338955,121239.0,3.284980686,37
27,2018-11-01,0.8514835595538038,0.5671285938433556,1.1893990422159437,120987.0,3.503458421,30
28,2018-11-08,1.039770427131749,0.7189345942152391,1.4200686961811386,121840.0,2.984729324,36
29,2018-11-15,1.0249582015154424,0.7128448429516622,1.3983559622081838,121652.0,3.133468215,35
30,2018-11-22,0.9155006612381477,0.6173862312573407,1.2711202594763602,120782.0,2.996895311,31
31,2018-11-29,1.6210678468418502,1.202743785629125,2.104422136970968,126185.0,3.430024534,56
32,2018-12-06,1.1079297986899426,0.8005479630721574,1.47072687452461,124954.0,3.429478393,44
33,2018-12-13,0.5349488131014213,0.3337626551542139,0.7828677264097692,122789.0,3.192058879,22
34,2018-12-20,0.8220858941752882,0.5553563354947277,1.1492789464105462,122041.0,2.714670547,30
35,2018-12-27,0.8759058261399422,0.579067931600545,1.2424579883785403,119689.0,1.818967932,28
36,2019-01-03,1.225096614792638,0.8541874025417436,1.6578420016170172,121213.0,1.795836768,37
37,2019-01-10,1.1461438035147065,0.7988221433872809,1.558881183450763,120863.0,1.60183678,36
38,2019-01-17,1.0276776991155705,0.7101240068021404,1.4135933539846885,120842.0,1.335574634,34
39,2019-01-24,1.1994353428432918,0.8511429144196168,1.619760721423412,122822.0,1.350619368,41
40,2019-01-31,0.7184872816490796,0.4594725835447922,1.0357226176249867,119984.0,1.419964344,25
41,2019-02-07,0.7481360127416534,0.4779045731536487,1.0797483189302477,119063.0,1.58388633,24
42,2019-02-14,1.0708343559285811,0.7309289165642858,1.4923386098520546,119429.0,1.410958336,31
43,2019-02-21,1.029730389715714,0.6843881308352973,1.4484607407669154,117985.0,1.880002105,29
44,2019-02-28,1.1838570648637752,0.8155927045563064,1.6285547788574153,119738.0,1.391054571,34
45,2019-03-07,1.4292902093158475,1.0223937759216952,1.9045207112598934,123058.0,1.547237365,44
46,2019-03-14,2.0985268929881493,1.6350559923768624,2.6249779565262523,131611.0,2.044017919,78
